distance,position,run,mean_rssi,median_rssi,std_rssi,min_rssi,max_rssi,count,q25,q75
3,start,1,-72.41071428571429,-71.0,5.820892732888333,-91,-63,56,-74.0,-69.0
3,start,2,-71.26153846153846,-71.0,4.521742346281337,-90,-63,65,-74.0,-69.0
3,start,3,-74.54901960784314,-75.0,3.9815259662104228,-88,-66,51,-76.0,-73.0
7,start,1,-69.53731343283582,-69.0,4.404984635920495,-86,-64,67,-71.0,-66.0
7,start,2,-72.9047619047619,-73.5,4.471097010635461,-87,-66,42,-75.0,-69.0
7,start,3,-66.65432098765432,-66.0,5.844143422750593,-83,-56,81,-71.0,-62.0
9,start,1,-73.3170731707317,-71.0,5.832833892672771,-95,-64,41,-76.0,-69.0
9,start,2,-72.7872340425532,-72.0,4.871997047068276,-86,-65,47,-74.5,-69.0
9,start,3,-68.94827586206897,-68.0,3.0574752443696833,-83,-62,58,-70.0,-68.0
3,mid_facing,1,-45.33734939759036,-45.0,4.431806074700204,-63,-40,83,-46.0,-42.5
3,mid_facing,2,-50.651685393258425,-50.0,4.175418116231284,-70,-45,89,-52.0,-49.0
3,mid_facing,3,-43.40425531914894,-43.0,2.791381316578102,-59,-40,94,-45.0,-42.0
7,mid_facing,1,-45.294117647058826,-44.0,3.6704207927045926,-65,-43,85,-46.0,-44.0
7,mid_facing,2,-62.925925925925924,-62.0,4.993776700079666,-81,-56,54,-66.75,-59.0
7,mid_facing,3,-55.88505747126437,-55.0,5.614402756359055,-75,-47,87,-58.0,-52.0
9,mid_facing,1,-41.651162790697676,-41.0,4.037376672632468,-60,-39,86,-41.0,-40.0
9,mid_facing,2,-53.20238095238095,-52.0,4.804063947049796,-70,-48,84,-55.0,-50.0
9,mid_facing,3,-49.86363636363637,-48.0,4.34485246547089,-64,-45,88,-52.25,-47.0
3,center,1,-66.2,-67.0,4.963677592077797,-77,-59,85,-70.0,-61.0
3,center,2,-76.36363636363636,-74.0,6.911705302620681,-97,-68,44,-77.0,-72.0
3,center,3,-73.45833333333333,-73.0,3.5487986180122526,-91,-67,48,-75.0,-71.0
7,center,1,-75.46808510638297,-74.0,6.10719840355834,-96,-67,47,-77.5,-72.0
7,center,2,-80.62790697674419,-79.0,5.300598599681942,-93,-72,43,-81.5,-77.0
7,center,3,-77.66666666666667,-77.0,4.777310439511021,-90,-68,48,-79.0,-75.0
9,center,1,-68.60655737704919,-67.0,5.490229772133373,-85,-61,61,-69.0,-66.0
9,center,2,-75.0,-74.0,4.681334597849344,-89,-70,48,-76.0,-72.0
9,center,3,-72.45454545454545,-72.0,2.774087282999543,-85,-69,44,-73.0,-71.0
3,mid_away,1,-57.61904761904762,-55.0,6.396355818490811,-80,-50,84,-60.0,-53.0
3,mid_away,2,-65.55405405405405,-62.0,7.1541575074129975,-85,-57,74,-71.75,-59.0
3,mid_away,3,-62.35,-60.5,6.886236502223618,-93,-54,80,-65.25,-57.75
7,mid_away,1,-64.10344827586206,-62.0,5.27719241932782,-85,-57,58,-67.0,-61.0
7,mid_away,2,-63.333333333333336,-62.0,4.8830289402383915,-78,-56,48,-67.25,-59.75
7,mid_away,3,-64.6375,-63.0,5.803193686413138,-79,-58,80,-69.0,-60.0
9,mid_away,1,-63.94202898550725,-63.0,5.468853138109151,-77,-56,69,-69.0,-59.0
9,mid_away,2,-60.22666666666667,-58.0,6.654755124402833,-79,-52,75,-64.0,-55.5
9,mid_away,3,-63.507246376811594,-62.0,5.04865499970565,-80,-56,69,-67.0,-60.0
3,end,1,-62.333333333333336,-60.0,5.82126957692044,-88,-58,66,-61.0,-60.0
3,end,2,-70.59722222222223,-71.0,4.15766633562296,-87,-64,72,-72.0,-69.0
3,end,3,-68.57692307692308,-68.0,5.344398400987394,-81,-61,52,-71.25,-63.75
7,end,1,-68.7,-68.0,4.792355023020172,-83,-61,70,-69.0,-67.0
7,end,2,-69.40298507462687,-69.0,4.115969275338609,-84,-62,67,-70.0,-68.0
7,end,3,-66.27777777777777,-66.0,4.399815048040543,-82,-60,72,-68.0,-63.0
9,end,1,-75.07692307692308,-74.0,4.780869368173057,-88,-68,52,-76.25,-72.0
9,end,2,-74.3265306122449,-73.0,3.6877486080152444,-89,-70,49,-75.0,-72.0
9,end,3,-68.73333333333333,-68.0,2.918592437834001,-80,-65,45,-69.0,-67.0
