interval_ms,orientation,direction,direction_code,prr_transmitted,prr_received,prr_prr_percent,prr_packet_loss_percent,latency_first_transmission,latency_first_reception,latency_latency_seconds,latency_latency_ms,quality_rssi_mean,quality_rssi_std,quality_rssi_min,quality_rssi_max,quality_rssi_median,quality_rssi_range,quality_running_mean_avg,quality_running_std_avg,quality_stability_score,gap_n_gaps,gap_gap_rate,gap_avg_gap_duration_ms,gap_max_gap_duration_ms,gap_avg_inter_packet_interval_ms,gap_std_inter_packet_interval_ms
100,los,es,los_es,857,59,6.884480746791131,93.11551925320887,2024-04-02 14:34:13,2024-04-02 14:33:41,-32.0,-32000.0,-53.86440677966102,6.401663649931149,-72,-41,-54.0,31,-54.18484665052462,4.294032160862142,0.18889193900120704,44,75.86206896551724,7318.181818181818,89000.0,5551.724137931034,15667.792882767564
100,los,se,los_se,1207,157,13.007456503728251,86.99254349627175,2024-04-02 13:50:31,2024-04-02 13:50:32,1.0,1000.0,-55.5796178343949,6.9744289248204545,-79,-39,-56.0,40,-56.167227782832875,4.344686758442025,0.18710170402792695,88,56.41025641025641,27840.909090909092,1914000.0,15705.128205128205,154510.4743478877
100,los,es,nlos_es,524,128,24.427480916030532,75.57251908396947,2024-04-02 14:27:03,2024-04-02 14:27:03,0.0,0.0,-58.3984375,6.802431065840492,-82,-44,-58.0,38,-58.495898437499996,5.143146784016043,0.16278302231063677,77,60.629921259842526,3922.0779220779223,113000.0,2377.952755905512,11610.70191461874
100,los,se,nlos_se,955,49,5.130890052356021,94.86910994764398,2024-04-02 14:32:45,2024-04-02 14:32:46,1.0,1000.0,-59.69387755102041,10.275788861916825,-87,-40,-56.0,47,-56.96981697440881,6.161499926687062,0.13963555264080046,36,75.0,8444.444444444445,111000.0,6333.333333333333,21003.88346395437
500,los,es,los_es,134,84,62.68656716417911,37.31343283582089,2024-04-02 14:15:56,2024-04-02 14:15:57,1.0,1000.0,-53.70238095238095,6.173748859943764,-69,-40,-53.0,29,-53.332922335600905,3.938149867014232,0.2025049921388135,53,63.85542168674698,3245.2830188679245,57000.0,2072.289156626506,8120.709948133246
500,los,se,los_se,138,75,54.347826086956516,45.652173913043484,2024-04-02 14:10:46,2024-04-02 14:10:46,0.0,0.0,-57.946666666666665,9.04029019704826,-84,-36,-58.0,48,-58.10150793650793,7.184301516153429,0.12218513675556687,53,71.62162162162163,3679.245283018868,68000.0,2635.135135135135,10348.150949018871
500,los,es,nlos_es,140,61,43.57142857142857,56.42857142857143,2024-04-02 14:11:29,2024-04-02 14:11:29,0.0,0.0,-60.442622950819676,7.647493249782211,-77,-44,-60.0,33,-61.55651183970856,5.726097394425641,0.14867462383592092,42,70.0,4500.0,75000.0,3150.0,11543.322965452615
500,los,se,nlos_se,136,60,44.11764705882353,55.88235294117647,2024-04-02 14:15:00,2024-04-02 14:15:00,0.0,0.0,-56.516666666666666,10.472711378426277,-77,-39,-56.5,38,-55.02161375661375,7.647088367559358,0.1156458633812077,43,72.88135593220339,4465.116279069767,78000.0,3254.237288135593,11805.307427592255
1000,los,es,los_es,70,37,52.85714285714286,47.14285714285714,2024-04-02 13:59:11,2024-04-02 13:59:11,0.0,0.0,-60.891891891891895,7.374067864949229,-76,-48,-61.0,28,-60.79481981981982,5.089984948211126,0.1642040183192473,16,44.44444444444444,10187.5,64000.0,5083.333333333333,13701.668303010194
1000,los,se,los_se,75,45,60.0,40.0,2024-04-02 13:53:04,2024-04-02 13:53:06,2.0,2000.0,-55.977777777777774,8.280560172335974,-80,-41,-56.0,39,-56.48457671957672,6.5794813733108075,0.1319351484286567,18,40.909090909090914,11500.0,101000.0,5295.454545454545,17608.903067211315
1000,los,es,nlos_es,79,45,56.9620253164557,43.0379746835443,2024-04-02 13:54:02,2024-04-02 13:54:02,0.0,0.0,-59.08888888888889,7.913803309931504,-82,-46,-58.0,36,-57.39993827160493,5.1154747303836405,0.16351960298873924,16,36.36363636363637,12125.0,82000.0,5045.454545454545,15756.806643560016
1000,los,se,nlos_se,73,32,43.83561643835616,56.16438356164384,2024-04-02 13:58:22,2024-04-02 13:58:22,0.0,0.0,-64.4375,8.77289631065017,-85,-44,-66.5,41,-64.91132192460319,5.694249594075369,0.14938194131348687,15,48.38709677419355,11866.666666666666,73000.0,6258.064516129032,16597.123730605625
