distance,position,orientation,run,rssi_mean,rssi_std,rssi_min,rssi_max,rssi_median,rssi_range,rssi_iqr,is_los
3,center,los,1,-47.825,5.4790163581763975,-68,-42,-47.5,26,26,1
3,center,los,2,-48.4,3.579704696519773,-63,-42,-48.0,21,21,1
3,center,los,3,-38.666666666666664,3.957198540616211,-56,-35,-38.0,21,21,1
3,center,nlos,1,-66.2,4.963677592077799,-77,-59,-67.0,18,18,0
3,center,nlos,2,-76.36363636363636,6.911705302620682,-97,-68,-74.0,29,29,0
3,center,nlos,3,-73.45833333333333,3.548798618012252,-91,-67,-73.0,24,24,0
3,end,los,1,-65.38028169014085,4.642555322181645,-81,-61,-64.0,20,20,1
3,end,los,2,-70.1044776119403,5.214008893176868,-91,-61,-69.0,30,30,1
3,end,los,3,-69.02898550724638,4.242540216082926,-83,-62,-68.0,21,21,1
3,end,nlos,1,-62.333333333333336,5.821269576920439,-88,-58,-60.0,30,30,0
3,end,nlos,2,-70.59722222222223,4.15766633562296,-87,-64,-71.0,23,23,0
3,end,nlos,3,-68.57692307692308,5.344398400987393,-81,-61,-68.0,20,20,0
3,mid_away,nlos,1,-57.61904761904762,6.396355818490809,-80,-50,-55.0,30,30,0
3,mid_away,nlos,2,-65.55405405405405,7.154157507412998,-85,-57,-62.0,28,28,0
3,mid_away,nlos,3,-62.35,6.886236502223619,-93,-54,-60.5,39,39,0
3,mid_facing,nlos,1,-45.33734939759036,4.431806074700206,-63,-40,-45.0,23,23,0
3,mid_facing,nlos,2,-50.651685393258425,4.175418116231283,-70,-45,-50.0,25,25,0
3,mid_facing,nlos,3,-43.40425531914894,2.7913813165781005,-59,-40,-43.0,19,19,0
3,start,los,1,-61.04545454545455,5.4875178965154,-79,-53,-60.0,26,26,1
3,start,los,2,-62.68115942028985,5.348151834768796,-79,-56,-61.0,23,23,1
3,start,los,3,-67.48148148148148,6.052414895369314,-83,-57,-67.0,26,26,1
3,start,nlos,1,-72.41071428571429,5.820892732888335,-91,-63,-71.0,28,28,0
3,start,nlos,2,-71.26153846153846,4.521742346281341,-90,-63,-71.0,27,27,0
3,start,nlos,3,-74.54901960784314,3.9815259662104223,-88,-66,-75.0,22,22,0
5,center,los,1,-56.27272727272727,3.9934638343209334,-71,-49,-55.0,22,22,1
5,center,los,2,-55.07608695652174,5.1934737060288105,-73,-48,-55.0,25,25,1
5,center,los,3,-49.3,5.006624824652975,-70,-44,-48.0,26,26,1
5,end,los,1,-66.525,5.358853206825848,-81,-59,-67.0,22,22,1
5,end,los,2,-65.1604938271605,7.178887083182631,-84,-55,-67.0,29,29,1
5,end,los,3,-64.59677419354838,8.574571016214747,-89,-55,-64.0,34,34,1
5,start,los,1,-69.48051948051948,4.5090855345810565,-81,-59,-69.0,22,22,1
5,start,los,2,-66.10810810810811,5.920865281931576,-85,-58,-64.5,27,27,1
