distance,position,orientation,run,rssi_slope,direction,trend_strength,mean_rssi
3,center,los,1,-0.07288521993092442,departing,0.25449846018180683,-47.825
3,center,los,2,-0.03922863525111168,departing,0.19489888817184156,-48.4
3,center,los,3,-0.05798038071419919,departing,0.2542908017441014,-38.666666666666664
3,end,los,1,0.010987007183871448,approaching,0.04259916240392466,-65.38028169014085
3,end,los,2,0.060263646953238284,approaching,0.23799089474094623,-70.1044776119403
3,end,los,3,-0.031391942876823994,departing,0.13124464610175937,-69.02898550724638
3,start,los,1,-0.0188647380718146,departing,0.06266659976252127,-61.04545454545455
3,start,los,2,-0.06333684212710815,departing,0.20566945340928336,-62.68115942028985
3,start,los,3,0.04986360085898754,approaching,0.13201037214097838,-67.48148148148148
5,center,los,1,-0.027829802985281447,departing,0.1305474328326247,-56.27272727272727
5,center,los,2,0.00818960684497773,approaching,0.030016696501214652,-55.07608695652174
5,center,los,3,-0.03925451882297103,departing,0.14399083032349602,-49.3
5,end,los,1,0.06205510907389153,approaching,0.1899401505392986,-66.525
5,end,los,2,-0.008119864514114021,departing,0.021445356683506847,-65.1604938271605
5,end,los,3,-0.035379567385134335,departing,0.08087255358876876,-64.59677419354838
5,start,los,1,-0.02723925631457267,departing,0.11164368482954037,-69.48051948051948
5,start,los,2,-0.04113265316837147,departing,0.13361345996552101,-66.10810810810811
5,start,los,3,0.009476054191982526,approaching,0.034054437455444855,-65.6027397260274
7,center,los,1,0.03857778006123079,approaching,0.08325809188423858,-59.43529411764706
7,center,los,2,0.027079978450075055,approaching,0.07643236524577626,-54.98809523809524
7,center,los,3,-0.03580680950872792,departing,0.169603197330357,-49.84615384615385
7,end,los,1,-0.004716115888695375,departing,0.014983000036168299,-68.19298245614036
7,end,los,2,0.03662758010664301,approaching,0.1259757206329607,-62.58139534883721
7,end,los,3,0.022541290260679327,approaching,0.0778846517674364,-60.735632183908045
7,start,los,1,-0.004380134611507986,departing,0.01625980452561619,-65.15686274509804
7,start,los,2,0.22105379787597126,approaching,0.6262644064714649,-65.15789473684211
7,start,los,3,0.06636419653401729,approaching,0.4241709441354321,-69.24271844660194
9,center,los,1,-0.07012033683616987,departing,0.22294226690608498,-60.41891891891892
9,center,los,2,-0.05478437964840229,departing,0.23361137558425724,-51.80952380952381
9,center,los,3,-0.0012655504259775914,departing,0.004149345282486122,-53.470588235294116
9,end,los,1,0.038399192927895925,approaching,0.11567464273440159,-70.76190476190476
9,end,los,2,0.06595526096400826,approaching,0.2603061493595051,-62.43478260869565
9,end,los,3,0.06294280425224781,approaching,0.20493280463892183,-61.67816091954023
9,start,los,1,-0.018855510118609833,departing,0.0647828284088181,-67.44155844155844
9,start,los,2,-0.037133356354517935,departing,0.16996682311555827,-60.876543209876544
9,start,los,3,0.008534357040935364,approaching,0.05593803320483559,-75.86363636363636
