true_distance,estimated_distance,mean_rssi,median_rssi,std_rssi,error,abs_error,relative_error,position,orientation,run
3,0.5059197488435829,-47.825,-47.5,5.4790163581763975,-2.494080251156417,2.494080251156417,83.13600837188056,center,los,1
5,7.1356293311343135,-56.27272727272727,-55.0,3.993463834320934,2.1356293311343135,2.1356293311343135,42.712586622686274,center,los,1
7,19.21823437049199,-59.43529411764706,-60.0,8.225174855318288,12.218234370491992,12.218234370491992,174.54620529274274,center,los,1
9,20.0,-60.41891891891892,-59.0,5.659291685087228,11.0,11.0,122.22222222222223,center,los,1
3,0.6057772023261462,-48.4,-48.0,3.579704696519772,-2.3942227976738537,2.3942227976738537,79.80742658912845,center,los,2
5,4.90483131304442,-55.07608695652174,-55.0,5.19347370602881,-0.09516868695557967,0.09516868695557967,1.9033737391115932,center,los,2
7,4.7714723703295885,-54.98809523809524,-55.0,6.031032295141297,-2.2285276296704115,2.2285276296704115,31.836108995291596,center,los,2
9,1.7627621451596487,-51.80952380952381,-51.0,4.540251546760379,-7.237237854840352,7.237237854840352,80.41375394267057,center,los,2
3,0.5,-38.666666666666664,-38.0,3.957198540616211,-2.5,2.5,83.33333333333334,center,los,3
5,0.8030857221391507,-49.3,-48.0,5.006624824652977,-4.1969142778608495,4.1969142778608495,83.93828555721699,center,los,3
7,0.9529465684345633,-49.84615384615385,-50.0,3.82658268468552,-6.047053431565437,6.047053431565437,86.38647759379195,center,los,3
9,2.9661210811279024,-53.470588235294116,-53.0,5.517479227945705,-6.033878918872098,6.033878918872098,67.04309909857886,center,los,3
3,20.0,-65.38028169014085,-64.0,4.642555322181644,17.0,17.0,566.6666666666667,end,los,1
5,20.0,-66.525,-67.0,5.35885320682585,15.0,15.0,300.0,end,los,1
7,20.0,-68.19298245614036,-69.0,5.406472960691353,13.0,13.0,185.71428571428572,end,los,1
9,20.0,-70.76190476190476,-69.0,5.925593615666328,11.0,11.0,122.22222222222223,end,los,1
3,20.0,-70.1044776119403,-69.0,5.214008893176875,17.0,17.0,566.6666666666667,end,los,2
5,20.0,-65.1604938271605,-67.0,7.178887083182631,15.0,15.0,300.0,end,los,2
7,20.0,-62.58139534883721,-62.0,5.292536623628475,13.0,13.0,185.71428571428572,end,los,2
9,20.0,-62.43478260869565,-62.0,4.608411678005767,11.0,11.0,122.22222222222223,end,los,2
3,20.0,-69.02898550724638,-68.0,4.242540216082929,17.0,17.0,566.6666666666667,end,los,3
5,20.0,-64.59677419354838,-64.0,8.574571016214746,15.0,15.0,300.0,end,los,3
7,20.0,-60.735632183908045,-60.0,5.368858893342846,13.0,13.0,185.71428571428572,end,los,3
9,20.0,-61.67816091954023,-60.0,5.7879069054276275,11.0,11.0,122.22222222222223,end,los,3
3,20.0,-61.04545454545455,-60.0,5.4875178965154,17.0,17.0,566.6666666666667,start,los,1
5,20.0,-69.48051948051948,-69.0,4.509085534581058,15.0,15.0,300.0,start,los,1
7,20.0,-65.15686274509804,-64.0,5.504080482767701,13.0,13.0,185.71428571428572,start,los,1
9,20.0,-67.44155844155844,-67.0,5.637033342789792,11.0,11.0,122.22222222222223,start,los,1
3,20.0,-62.68115942028985,-61.0,5.348151834768796,17.0,17.0,566.6666666666667,start,los,2
5,20.0,-66.10810810810811,-64.5,5.920865281931575,15.0,15.0,300.0,start,los,2
7,20.0,-65.15789473684211,-63.0,6.932152396053138,13.0,13.0,185.71428571428572,start,los,2
9,20.0,-60.876543209876544,-59.0,3.9382188742164357,11.0,11.0,122.22222222222223,start,los,2
3,20.0,-67.48148148148148,-67.0,6.052414895369313,17.0,17.0,566.6666666666667,start,los,3
5,20.0,-65.6027397260274,-64.0,5.111913443742625,15.0,15.0,300.0,start,los,3
7,20.0,-69.24271844660194,-70.0,6.834838695139626,13.0,13.0,185.71428571428572,start,los,3
9,20.0,-75.86363636363636,-74.0,4.480401295829448,11.0,11.0,122.22222222222223,start,los,3
