distance,orientation,run,position,position_index,mean_rssi,packet_count,duration
3,los,1,start,0,-61.04545454545455,88,60.832149
3,los,1,center,2,-47.825,80,61.992232
3,los,1,end,4,-65.38028169014085,71,61.937027
3,los,2,start,0,-62.68115942028985,69,61.021151
3,los,2,center,2,-48.4,85,60.999611
3,los,2,end,4,-70.1044776119403,67,65.618707
3,los,3,start,0,-67.48148148148148,54,59.995242
3,los,3,center,2,-38.666666666666664,93,62.366247
3,los,3,end,4,-69.02898550724638,69,60.499177
5,los,1,start,0,-69.48051948051948,77,62.125179
5,los,1,center,2,-56.27272727272727,88,64.003295
5,los,1,end,4,-66.525,40,62.502401
5,los,2,start,0,-66.10810810810811,74,63.9828
5,los,2,center,2,-55.07608695652174,92,64.49935
5,los,2,end,4,-65.1604938271605,81,63.933832
5,los,3,start,0,-65.6027397260274,73,61.420614
5,los,3,center,2,-49.3,90,61.501715
5,los,3,end,4,-64.59677419354838,62,64.005071
7,los,1,start,0,-65.15686274509804,51,62.929027
7,los,1,center,2,-59.43529411764706,85,60.99648
7,los,1,end,4,-68.19298245614036,57,61.689111
7,los,2,start,0,-65.15789473684211,76,66.028363
7,los,2,center,2,-54.98809523809524,84,61.079632
7,los,2,end,4,-62.58139534883721,86,62.906043
7,los,3,start,0,-69.24271844660194,103,137.495389
7,los,3,center,2,-49.84615384615385,91,62.525515
7,los,3,end,4,-60.735632183908045,87,61.004871
9,los,1,start,0,-67.44155844155844,77,63.524657
9,los,1,center,2,-60.41891891891892,74,62.531302
9,los,1,end,4,-70.76190476190476,42,58.857906
9,los,2,start,0,-60.876543209876544,81,59.994786
9,los,2,center,2,-51.80952380952381,84,65.498521
9,los,2,end,4,-62.43478260869565,92,61.477609
9,los,3,start,0,-75.86363636363636,44,97.476564
9,los,3,center,2,-53.470588235294116,85,60.555811
9,los,3,end,4,-61.67816091954023,87,61.942611
