distance,position,orientation,run,dwell_time,packet_count,mean_rssi,std_rssi
3,center,los,1,61.992232,80,-47.825,5.4790163581763975
3,center,los,2,60.999611,85,-48.4,3.579704696519772
3,center,los,3,62.366247,93,-38.666666666666664,3.957198540616211
3,end,los,1,61.937027,71,-65.38028169014085,4.642555322181644
3,end,los,2,65.618707,67,-70.1044776119403,5.214008893176875
3,end,los,3,60.499177,69,-69.02898550724638,4.242540216082929
3,start,los,1,60.832149,88,-61.04545454545455,5.4875178965154
3,start,los,2,61.021151,69,-62.68115942028985,5.348151834768796
3,start,los,3,59.995242,54,-67.48148148148148,6.052414895369313
5,center,los,1,64.003295,88,-56.27272727272727,3.993463834320934
5,center,los,2,64.49935,92,-55.07608695652174,5.19347370602881
5,center,los,3,61.501715,90,-49.3,5.006624824652977
5,end,los,1,62.502401,40,-66.525,5.35885320682585
5,end,los,2,63.933832,81,-65.1604938271605,7.178887083182631
5,end,los,3,64.005071,62,-64.59677419354838,8.574571016214746
5,start,los,1,62.125179,77,-69.48051948051948,4.509085534581058
5,start,los,2,63.9828,74,-66.10810810810811,5.920865281931575
5,start,los,3,61.420614,73,-65.6027397260274,5.111913443742625
7,center,los,1,60.99648,85,-59.43529411764706,8.225174855318288
7,center,los,2,61.079632,84,-54.98809523809524,6.031032295141297
7,center,los,3,62.525515,91,-49.84615384615385,3.82658268468552
7,end,los,1,61.689111,57,-68.19298245614036,5.406472960691353
7,end,los,2,62.906043,86,-62.58139534883721,5.292536623628475
7,end,los,3,61.004871,87,-60.735632183908045,5.368858893342846
7,start,los,1,62.929027,51,-65.15686274509804,5.504080482767701
7,start,los,2,66.028363,76,-65.15789473684211,6.932152396053138
7,start,los,3,137.495389,103,-69.24271844660194,6.834838695139626
9,center,los,1,62.531302,74,-60.41891891891892,5.659291685087228
9,center,los,2,65.498521,84,-51.80952380952381,4.540251546760379
9,center,los,3,60.555811,85,-53.470588235294116,5.517479227945705
9,end,los,1,58.857906,42,-70.76190476190476,5.925593615666328
9,end,los,2,61.477609,92,-62.43478260869565,4.608411678005767
9,end,los,3,61.942611,87,-61.67816091954023,5.7879069054276275
9,start,los,1,63.524657,77,-67.44155844155844,5.637033342789792
9,start,los,2,59.994786,81,-60.876543209876544,3.9382188742164357
9,start,los,3,97.476564,44,-75.86363636363636,4.480401295829448
