distance,position,orientation,run,start_time,end_time,duration,packet_count,mean_rssi
3,center,los,1,2023-02-01 11:43:22.410048,2023-02-01 11:44:24.402280,61.992232,80,-47.825
3,center,los,2,2023-02-01 11:51:51.345528,2023-02-01 11:52:52.345139,60.999611,85,-48.4
3,center,los,3,2023-02-01 13:24:03.848897,2023-02-01 13:25:06.215144,62.366247,93,-38.666666666666664
3,end,los,1,2023-02-01 12:27:35.450048,2023-02-01 12:28:37.387075,61.937027,67,-64.46268656716418
3,end,los,2,2023-02-01 12:32:50.453190,2023-02-01 12:33:00.431407,9.978217,14,-69.85714285714286
3,end,los,2,2023-02-01 12:33:05.451043,2023-02-01 12:33:56.071897,50.620854,45,-68.35555555555555
3,end,los,3,2023-02-01 12:38:07.351483,2023-02-01 12:39:07.850660,60.499177,63,-67.96825396825396
3,start,los,1,2023-02-01 12:04:20.511979,2023-02-01 12:05:21.344128,60.832149,85,-60.48235294117647
3,start,los,2,2023-02-01 12:10:19.854297,2023-02-01 12:11:20.875448,61.021151,66,-62.015151515151516
3,start,los,3,2023-02-01 12:19:29.260113,2023-02-01 12:19:36.724699,7.464586,4,-67.5
3,start,los,3,2023-02-01 12:19:41.732020,2023-02-01 12:20:29.255355,47.523335,43,-65.72093023255815
5,center,los,1,2023-02-01 11:46:09.891002,2023-02-01 11:47:13.894297,64.003295,88,-56.27272727272727
5,center,los,2,2023-02-01 11:53:14.859168,2023-02-01 11:54:19.358518,64.49935,92,-55.07608695652174
5,center,los,3,2023-02-01 13:25:16.723976,2023-02-01 13:26:18.225691,61.501715,90,-49.3
5,end,los,1,2023-02-01 12:28:50.400866,2023-02-01 12:29:00.396058,9.995192,5,-65.2
5,end,los,1,2023-02-01 12:29:08.399610,2023-02-01 12:29:52.903267,44.503657,32,-65.59375
5,end,los,2,2023-02-01 12:34:17.425301,2023-02-01 12:35:21.359133,63.933832,78,-64.47435897435898
5,end,los,3,2023-02-01 12:39:23.376364,2023-02-01 12:39:59.894342,36.517978,37,-62.67567567567568
5,end,los,3,2023-02-01 12:40:05.909088,2023-02-01 12:40:27.381435,21.472347,20,-63.45
5,start,los,1,2023-02-01 12:06:05.885812,2023-02-01 12:07:08.010991,62.125179,72,-68.80555555555556
5,start,los,2,2023-02-01 12:11:44.857077,2023-02-01 12:12:48.839877,63.9828,70,-65.27142857142857
5,start,los,3,2023-02-01 12:20:45.784003,2023-02-01 12:21:47.204617,61.420614,70,-64.94285714285714
7,center,los,1,2023-02-01 11:47:30.011224,2023-02-01 11:48:30.389108,60.377884,82,-58.81707317073171
7,center,los,2,2023-02-01 11:54:31.322625,2023-02-01 11:55:32.402257,61.079632,84,-54.98809523809524
7,center,los,3,2023-02-01 13:26:38.227345,2023-02-01 13:27:40.752860,62.525515,91,-49.84615384615385
7,end,los,1,2023-02-01 12:30:13.414711,2023-02-01 12:31:15.103822,61.689111,54,-67.42592592592592
7,end,los,2,2023-02-01 12:35:32.572959,2023-02-01 12:36:35.479002,62.906043,82,-61.81707317073171
7,end,los,3,2023-02-01 12:40:43.378869,2023-02-01 12:41:44.383740,61.004871,82,-59.63414634146341
7,start,los,1,2023-02-01 12:07:28.912610,2023-02-01 12:07:51.347774,22.435164,23,-65.04347826086956
7,start,los,1,2023-02-01 12:08:03.987543,2023-02-01 12:08:31.841637,27.854094,27,-64.85185185185185
7,start,los,2,2023-02-01 12:13:07.314120,2023-02-01 12:13:18.810308,11.496188,11,-71.18181818181819
7,start,los,2,2023-02-01 12:13:28.366034,2023-02-01 12:14:13.342483,44.976449,61,-63.26229508196721
7,start,los,3,2023-02-01 12:22:05.730656,2023-02-01 12:22:20.746693,15.016037,14,-67.71428571428571
7,start,los,3,2023-02-01 12:22:25.869709,2023-02-01 12:22:35.727646,9.857937,5,-72.8
7,start,los,3,2023-02-01 12:22:41.187297,2023-02-01 12:22:43.204496,2.017199,2,-70.0
7,start,los,3,2023-02-01 12:22:49.219121,2023-02-01 12:22:51.759689,2.540568,3,-70.33333333333333
7,start,los,3,2023-02-01 12:22:57.180316,2023-02-01 12:22:57.180316,0.0,1,-70.0
7,start,los,3,2023-02-01 12:23:15.231287,2023-02-01 12:24:18.319648,63.088361,61,-66.1639344262295
9,center,los,1,2023-02-01 11:48:46.355337,2023-02-01 11:49:48.886639,62.531302,72,-59.916666666666664
9,center,los,2,2023-02-01 11:55:46.317828,2023-02-01 11:56:51.816349,65.498521,84,-51.80952380952381
9,center,los,3,2023-02-01 13:28:01.699597,2023-02-01 13:29:02.255408,60.555811,85,-53.470588235294116
9,end,los,1,2023-02-01 12:31:30.177471,2023-02-01 12:31:44.934612,14.757141,10,-68.7
9,end,los,1,2023-02-01 12:31:49.935918,2023-02-01 12:32:29.035377,39.099459,26,-68.65384615384616
9,end,los,2,2023-02-01 12:36:49.390551,2023-02-01 12:37:50.868160,61.477609,86,-61.33720930232558
9,end,los,3,2023-02-01 12:42:00.372053,2023-02-01 12:43:01.810932,61.438879,81,-60.46913580246913
9,start,los,1,2023-02-01 12:08:51.340446,2023-02-01 12:09:54.865103,63.524657,70,-66.15714285714286
9,start,los,2,2023-02-01 12:14:33.796169,2023-02-01 12:15:33.790955,59.994786,81,-60.876543209876544
9,start,los,3,2023-02-10 12:50:09.632543,2023-02-10 12:50:12.108719,2.476176,2,-74.0
9,start,los,3,2023-02-10 12:50:17.613081,2023-02-10 12:50:17.613081,0.0,1,-74.0
9,start,los,3,2023-02-10 12:50:28.125305,2023-02-10 12:50:28.125305,0.0,1,-72.0
9,start,los,3,2023-02-10 12:50:34.135266,2023-02-10 12:50:44.644767,10.509501,7,-73.57142857142857
9,start,los,3,2023-02-10 12:50:53.129171,2023-02-10 12:51:03.631835,10.502664,7,-72.28571428571429
9,start,los,3,2023-02-10 12:51:13.632975,2023-02-10 12:51:13.632975,0.0,1,-75.0
9,start,los,3,2023-02-10 12:51:27.115224,2023-02-10 12:51:33.631868,6.516644,5,-73.4
9,start,los,3,2023-02-10 12:51:41.626397,2023-02-10 12:51:41.626397,0.0,1,-74.0
9,start,los,3,2023-02-10 12:51:47.109107,2023-02-10 12:51:47.109107,0.0,1,-73.0
