distance,position,orientation,run,temporal_std,temporal_range,mean_rssi,packet_count
3,center,los,1,5.4790163581763975,26,-47.825,80
3,center,los,2,3.579704696519772,21,-48.4,85
3,center,los,3,3.957198540616211,21,-38.666666666666664,93
3,end,los,1,4.642555322181644,20,-65.38028169014085,71
3,end,los,2,5.214008893176875,30,-70.1044776119403,67
3,end,los,3,4.242540216082929,21,-69.02898550724638,69
3,start,los,1,5.4875178965154,26,-61.04545454545455,88
3,start,los,2,5.348151834768796,23,-62.68115942028985,69
3,start,los,3,6.052414895369313,26,-67.48148148148148,54
5,center,los,1,3.993463834320934,22,-56.27272727272727,88
5,center,los,2,5.19347370602881,25,-55.07608695652174,92
5,center,los,3,5.006624824652977,26,-49.3,90
5,end,los,1,5.35885320682585,22,-66.525,40
5,end,los,2,7.178887083182631,29,-65.1604938271605,81
5,end,los,3,8.574571016214746,34,-64.59677419354838,62
5,start,los,1,4.509085534581058,22,-69.48051948051948,77
5,start,los,2,5.920865281931575,27,-66.10810810810811,74
5,start,los,3,5.111913443742625,24,-65.6027397260274,73
7,center,los,1,8.225174855318288,28,-59.43529411764706,85
7,center,los,2,6.031032295141297,27,-54.98809523809524,84
7,center,los,3,3.82658268468552,21,-49.84615384615385,91
7,end,los,1,5.406472960691353,24,-68.19298245614036,57
7,end,los,2,5.292536623628475,25,-62.58139534883721,86
7,end,los,3,5.368858893342846,27,-60.735632183908045,87
7,start,los,1,5.504080482767701,18,-65.15686274509804,51
7,start,los,2,6.932152396053138,25,-65.15789473684211,76
7,start,los,3,6.834838695139626,29,-69.24271844660194,103
9,center,los,1,5.659291685087228,29,-60.41891891891892,74
9,center,los,2,4.540251546760379,22,-51.80952380952381,84
9,center,los,3,5.517479227945705,25,-53.470588235294116,85
9,end,los,1,5.925593615666328,25,-70.76190476190476,42
9,end,los,2,4.608411678005767,23,-62.43478260869565,92
9,end,los,3,5.7879069054276275,26,-61.67816091954023,87
9,start,los,1,5.637033342789792,27,-67.44155844155844,77
9,start,los,2,3.9382188742164357,18,-60.876543209876544,81
9,start,los,3,4.480401295829448,23,-75.86363636363636,44
