datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 13:44:42,53.355516,-6.280359,82.0,0.0,0.0,
2024-04-02 13:44:44,53.35558,-6.280361,90.0,13.6,0.007,
2024-04-02 13:44:45,53.355541,-6.280301,86.0,21.2,0.013,
2024-04-02 13:44:46,53.355516,-6.280306,91.0,10.1,0.016,
2024-04-02 13:44:47,53.355547,-6.280325,88.0,13.5,0.02,
2024-04-02 13:44:48,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:49,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:50,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:51,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:52,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:53,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:54,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:55,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:56,53.355547,-6.280325,88.0,0.0,0.02,
2024-04-02 13:44:57,53.355547,-6.280329,86.0,0.8,0.02,
2024-04-02 13:44:58,53.355548,-6.280325,86.0,1.1,0.02,
2024-04-02 13:44:59,53.355549,-6.280325,85.0,0.5,0.02,
2024-04-02 13:45:00,53.355549,-6.280334,83.0,2.2,0.021,
2024-04-02 13:45:01,53.355549,-6.280334,83.0,0.0,0.021,
2024-04-02 13:45:02,53.355549,-6.280334,83.0,0.0,0.021,
2024-04-02 13:45:03,53.355555,-6.280343,82.0,2.9,0.022,
2024-04-02 13:45:04,53.35556,-6.28035,82.0,2.9,0.022,
2024-04-02 13:45:05,53.355563,-6.280349,81.0,1.1,0.023,
2024-04-02 13:45:06,53.355562,-6.280351,81.0,0.5,0.023,
2024-04-02 13:45:07,53.355557,-6.280365,81.0,4.0,0.024,
2024-04-02 13:45:08,53.355551,-6.280375,81.0,3.3,0.025,
2024-04-02 13:45:09,53.355539,-6.280386,80.0,5.3,0.026,
2024-04-02 13:45:10,53.355527,-6.280388,79.0,4.9,0.028,
2024-04-02 13:45:11,53.355519,-6.280385,79.0,3.3,0.029,
2024-04-02 13:45:12,53.355515,-6.280386,79.0,1.7,0.029,
2024-04-02 13:45:13,53.35552,-6.280392,79.0,2.3,0.03,
2024-04-02 13:45:14,53.35552,-6.280371,79.0,5.0,0.031,
2024-04-02 13:45:15,53.355522,-6.280374,79.0,1.1,0.032,
2024-04-02 13:45:16,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:17,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:18,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:19,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:20,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:21,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:22,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:23,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:24,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:25,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:26,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:27,53.355522,-6.280374,79.0,0.0,0.032,
2024-04-02 13:45:28,53.355522,-6.280375,79.0,0.0,0.032,
2024-04-02 13:45:29,53.355521,-6.280376,79.0,0.6,0.032,
2024-04-02 13:45:30,53.35552,-6.28038,79.0,1.2,0.032,
2024-04-02 13:45:31,53.35552,-6.28038,79.0,0.3,0.032,
2024-04-02 13:45:32,53.35552,-6.28038,79.0,0.3,0.032,
2024-04-02 13:45:33,53.35552,-6.28038,79.0,0.3,0.032,
2024-04-02 13:45:34,53.355518,-6.280378,78.0,1.1,0.033,
2024-04-02 13:45:35,53.355517,-6.280379,78.0,0.5,0.033,
2024-04-02 13:45:36,53.355514,-6.280381,77.0,1.3,0.033,
2024-04-02 13:45:37,53.355511,-6.280386,77.0,1.6,0.034,
2024-04-02 13:45:38,53.355511,-6.280386,77.0,0.0,0.034,
2024-04-02 13:45:39,53.355511,-6.280386,77.0,0.0,0.034,
2024-04-02 13:45:40,53.355512,-6.280385,75.0,0.5,0.034,
2024-04-02 13:45:41,53.355511,-6.280384,74.0,0.5,0.034,
2024-04-02 13:45:42,53.355507,-6.280386,74.0,1.5,0.034,
2024-04-02 13:45:43,53.355506,-6.280388,73.0,0.7,0.034,
2024-04-02 13:45:44,53.355507,-6.280388,73.0,0.0,0.034,
