time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 13:58:22,53.355581,-6.280365,77,0,0.258
2024-04-02 13:58:23,53.355581,-6.280365,77,0,0.258
2024-04-02 13:58:24,53.355581,-6.280365,77,0,0.258
2024-04-02 13:58:25,53.355581,-6.280365,77,0,0.258
2024-04-02 13:58:26,53.355586,-6.28036,78,2.1,0.258
2024-04-02 13:58:27,53.355595,-6.280362,78,3.8,0.259
2024-04-02 13:58:28,53.355604,-6.280365,78,3.5,0.26
2024-04-02 13:58:29,53.35561,-6.28036,78,2.8,0.261
2024-04-02 13:58:30,53.355617,-6.280352,77,3.5,0.262
2024-04-02 13:58:31,53.355627,-6.280346,77,4.1,0.263
2024-04-02 13:58:32,53.355631,-6.280342,77,2,0.264
2024-04-02 13:58:33,53.355639,-6.280336,77,3.5,0.265
2024-04-02 13:58:34,53.355646,-6.280343,77,3.2,0.266
2024-04-02 13:58:35,53.355652,-6.280346,77,2.5,0.266
2024-04-02 13:58:36,53.355657,-6.280345,77,2,0.267
2024-04-02 13:58:37,53.355665,-6.280345,77,3.2,0.268
2024-04-02 13:58:38,53.35568,-6.280341,76,5.9,0.269
2024-04-02 13:58:39,53.355693,-6.280331,76,5.8,0.271
2024-04-02 13:58:40,53.355705,-6.280324,76,5.1,0.272
2024-04-02 13:58:41,53.355714,-6.280326,77,3.8,0.273
2024-04-02 13:58:42,53.355724,-6.280323,77,3.9,0.274
2024-04-02 13:58:43,53.355731,-6.280316,77,3.4,0.275
2024-04-02 13:58:44,53.355739,-6.280314,77,3.1,0.276
2024-04-02 13:59:51,53.355578,-6.280413,78,0,0.302
2024-04-02 13:59:52,53.355578,-6.280413,78,0,0.302
2024-04-02 13:59:53,53.355578,-6.280413,78,0,0.302
2024-04-02 13:59:54,53.355578,-6.280413,78,0,0.302
2024-04-02 13:59:55,53.355578,-6.280413,78,0,0.302
2024-04-02 13:59:56,53.355578,-6.280413,78,0,0.302
2024-04-02 13:59:57,53.355578,-6.280405,78,2.1,0.302
2024-04-02 13:59:58,53.355586,-6.280401,78,3.2,0.303
2024-04-02 13:59:59,53.355596,-6.280397,78,4.3,0.305
2024-04-02 14:00:00,53.355605,-6.280396,78,3.7,0.306
2024-04-02 14:00:01,53.35561,-6.280395,79,2,0.306
2024-04-02 14:00:02,53.355618,-6.280394,79,3.2,0.307
2024-04-02 14:00:03,53.355627,-6.280391,79,3.6,0.308
2024-04-02 14:00:04,53.355636,-6.280386,79,3.8,0.309
2024-04-02 14:00:05,53.355646,-6.28038,79,4.3,0.31
2024-04-02 14:00:06,53.355655,-6.280377,79,3.6,0.311
2024-04-02 14:00:07,53.355663,-6.280384,79,3.4,0.312
2024-04-02 14:00:08,53.355669,-6.280383,79,2.6,0.313
2024-04-02 14:00:09,53.355681,-6.28038,78,4.7,0.314
2024-04-02 14:00:10,53.355691,-6.280378,78,4.1,0.315
2024-04-02 14:00:11,53.355703,-6.280368,78,5.1,0.317
2024-04-02 14:00:12,53.355713,-6.280364,78,4.3,0.318
2024-04-02 14:00:13,53.355721,-6.280367,78,3.5,0.319
2024-04-02 14:00:14,53.355729,-6.280369,78,3.1,0.32
2024-04-02 14:00:15,53.355736,-6.280365,78,2.8,0.321
2024-04-02 14:01:15,53.355567,-6.280406,78,0.3,0.343
2024-04-02 14:01:16,53.355567,-6.280406,78,0.3,0.343
2024-04-02 14:01:17,53.355567,-6.280406,78,0.3,0.343
2024-04-02 14:01:18,53.355567,-6.280406,78,0.3,0.343
2024-04-02 14:01:19,53.355567,-6.280406,78,0.3,0.343
2024-04-02 14:01:20,53.355567,-6.280406,78,0.3,0.343
2024-04-02 14:01:21,53.355569,-6.280394,78,3.1,0.344
2024-04-02 14:01:22,53.355579,-6.28039,78,3.9,0.345
2024-04-02 14:01:23,53.355588,-6.280385,79,3.8,0.346
2024-04-02 14:01:24,53.3556,-6.280381,79,5,0.348
2024-04-02 14:01:25,53.355611,-6.280372,78,4.7,0.349
2024-04-02 14:01:26,53.355619,-6.280369,78,3.4,0.35
2024-04-02 14:01:27,53.355626,-6.280364,78,3.1,0.351
2024-04-02 14:01:28,53.355634,-6.280362,77,3.4,0.352
2024-04-02 14:01:29,53.355643,-6.280367,77,3.7,0.353
2024-04-02 14:01:30,53.355653,-6.280366,77,4,0.354
2024-04-02 14:01:31,53.355664,-6.280358,77,4.7,0.355
2024-04-02 14:01:32,53.355677,-6.280354,77,5.2,0.357
2024-04-02 14:01:33,53.355684,-6.280355,77,3.1,0.358
2024-04-02 14:01:34,53.355695,-6.280354,77,4.2,0.359
2024-04-02 14:01:35,53.355706,-6.280353,77,4.4,0.36
2024-04-02 14:01:36,53.355714,-6.280348,77,3.7,0.361
2024-04-02 14:01:37,53.355723,-6.280343,76,3.5,0.362
2024-04-02 14:01:38,53.355729,-6.280339,76,2.5,0.363
2024-04-02 14:01:39,53.355732,-6.280344,75,1.7,0.363
