name,time,addr,device,mean,rssi,sd,sequence_number
rssi,2024-04-02 14:33:41.041,e45f010a7b55,rasp0,-72,-72,0,2
rssi,2024-04-02 14:33:59.059,e45f010a7b55,rasp0,-55,-55,0,177
rssi,2024-04-02 14:34:14.014,e45f010a7b55,rasp0,-53,-53,0,3
rssi,2024-04-02 14:34:19.019,e45f010a7b55,rasp0,-62.5,-72,9.5,59
rssi,2024-04-02 14:34:20.020,e45f010a7b55,rasp0,-60.6666666666667,-57,8.17856276425687,66
rssi,2024-04-02 14:34:21.021,e45f010a7b55,rasp0,-59.25,-55,7.49583217528247,74
rssi,2024-04-02 14:34:22.022,e45f010a7b55,rasp0,-58.6,-56,6.82934843158555,81
rssi,2024-04-02 14:34:28.028,e45f010a7b55,rasp0,-56.6666666666667,-47,7.58653778449403,142
rssi,2024-04-02 14:34:29.029,e45f010a7b55,rasp0,-56.1428571428571,-53,7.13999942834274,156
rssi,2024-04-02 14:34:34.034,e45f010a7b55,rasp0,-55.5,-51,6.89202437604511,205
rssi,2024-04-02 14:34:35.035,e45f010a7b55,rasp0,-54.8888888888889,-50,6.7238290090699,211
rssi,2024-04-02 14:34:41.041,e45f010a7b55,rasp0,-55.1,-57,6.41014820421494,274
rssi,2024-04-02 14:35:59.059,e45f010a7b55,rasp0,-54,-54,0,1
rssi,2024-04-02 14:36:21.021,e45f010a7b55,rasp0,-52,-52,0,1
rssi,2024-04-02 14:36:27.027,e45f010a7b55,rasp0,-61,-70,9,59
rssi,2024-04-02 14:36:28.028,e45f010a7b55,rasp0,-58.3333333333333,-53,8.25967446224258,65
rssi,2024-04-02 14:36:33.033,e45f010a7b55,rasp0,-57,-53,7.51664818918645,118
rssi,2024-04-02 14:36:34.034,e45f010a7b55,rasp0,-55.4,-49,7.44580418759451,124
rssi,2024-04-02 14:36:34.034,e45f010a7b55,rasp0,-54.6666666666667,-51,6.99205898780101,130
rssi,2024-04-02 14:36:35.035,e45f010a7b55,rasp0,-53.2857142857143,-45,7.30389887495098,135
rssi,2024-04-02 14:36:35.035,e45f010a7b55,rasp0,-52.5,-47,7.14142842854285,140
rssi,2024-04-02 14:36:36.036,e45f010a7b55,rasp0,-52,-48,6.87992248018343,146
rssi,2024-04-02 14:36:36.036,e45f010a7b55,rasp0,-52.2,-54,6.55438784326958,151
rssi,2024-04-02 14:36:40.040,e45f010a7b55,rasp0,-52.8,-58,6.77938050267132,185
rssi,2024-04-02 14:36:41.041,e45f010a7b55,rasp0,-50.1,-43,4.32319326424346,191
rssi,2024-04-02 14:36:41.041,e45f010a7b55,rasp0,-50.9,-61,5.39351462406472,199
rssi,2024-04-02 14:36:42.042,e45f010a7b55,rasp0,-51.9,-63,6.50307619515564,204
rssi,2024-04-02 14:36:49.049,e45f010a7b55,rasp0,-52.5,-55,6.48459713474939,277
rssi,2024-04-02 14:36:50.050,e45f010a7b55,rasp0,-53.8,-64,7.30479294709987,283
rssi,2024-04-02 14:36:51.051,e45f010a7b55,rasp0,-54.7,-54,6.69402718847182,288
rssi,2024-04-02 14:38:20.020,e45f010a7b55,rasp0,-55,-55,0,71
rssi,2024-04-02 14:38:41.041,e45f010a7b55,rasp0,-55,-55,0,3
rssi,2024-04-02 14:38:45.045,e45f010a7b55,rasp0,-55,-55,0,38
rssi,2024-04-02 14:38:46.046,e45f010a7b55,rasp0,-55,-55,0,45
rssi,2024-04-02 14:38:46.046,e45f010a7b55,rasp0,-55,-55,0,52
rssi,2024-04-02 14:38:47.047,e45f010a7b55,rasp0,-55,-55,0,57
rssi,2024-04-02 14:38:47.047,e45f010a7b55,rasp0,-55.5,-58,1.11803398874989,63
rssi,2024-04-02 14:38:48.048,e45f010a7b55,rasp0,-55.2857142857143,-54,1.16057691494799,69
rssi,2024-04-02 14:38:48.048,e45f010a7b55,rasp0,-55.375,-56,1.11102430216445,74
rssi,2024-04-02 14:38:49.049,e45f010a7b55,rasp0,-55.4444444444444,-56,1.06574033851394,79
rssi,2024-04-02 14:38:49.049,e45f010a7b55,rasp0,-55.6,-57,1.113552872566,84
rssi,2024-04-02 14:38:50.050,e45f010a7b55,rasp0,-55.3,-52,1.552417469626,89
rssi,2024-04-02 14:38:50.050,e45f010a7b55,rasp0,-54.9,-51,2.02237484161567,95
rssi,2024-04-02 14:38:51.051,e45f010a7b55,rasp0,-54.6,-52,2.2,101
rssi,2024-04-02 14:38:52.052,e45f010a7b55,rasp0,-54,-49,2.75680975041804,107
rssi,2024-04-02 14:38:52.052,e45f010a7b55,rasp0,-53.6,-51,2.87054001888146,114
rssi,2024-04-02 14:38:53.053,e45f010a7b55,rasp0,-52.7,-49,2.75862284482674,119
rssi,2024-04-02 14:38:54.054,e45f010a7b55,rasp0,-52.5,-52,2.72946881279124,125
rssi,2024-04-02 14:38:54.054,e45f010a7b55,rasp0,-51.3,-44,3.46554469023269,130
rssi,2024-04-02 14:38:55.055,e45f010a7b55,rasp0,-50.4,-47,3.29241552663087,135
