time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:26:15,53.355517,-6.280294,77,0,0.884
2024-04-02 14:26:16,53.355517,-6.280294,77,0,0.884
2024-04-02 14:26:17,53.355517,-6.280294,77,0,0.884
2024-04-02 14:26:18,53.355517,-6.280294,77,0,0.884
2024-04-02 14:26:19,53.355523,-6.280299,79,2.7,0.884
2024-04-02 14:26:20,53.355528,-6.280298,79,2.1,0.885
2024-04-02 14:26:21,53.355534,-6.280292,79,2.6,0.886
2024-04-02 14:26:22,53.355542,-6.280286,79,3.6,0.887
2024-04-02 14:26:23,53.355551,-6.280284,79,3.5,0.888
2024-04-02 14:26:24,53.355559,-6.280285,79,3.2,0.889
2024-04-02 14:26:25,53.355569,-6.280288,80,4.2,0.89
2024-04-02 14:26:26,53.355581,-6.280294,80,4.8,0.891
2024-04-02 14:26:27,53.355596,-6.280298,80,6.1,0.893
2024-04-02 14:26:28,53.355609,-6.280297,80,5.3,0.894
2024-04-02 14:26:29,53.355621,-6.280294,80,5,0.896
2024-04-02 14:26:30,53.355632,-6.280292,80,4.3,0.897
2024-04-02 14:26:31,53.355644,-6.28029,79,5,0.898
2024-04-02 14:26:32,53.355659,-6.280287,79,6.2,0.9
2024-04-02 14:26:33,53.355674,-6.280284,79,5.7,0.902
2024-04-02 14:26:34,53.355687,-6.280285,79,5.4,0.903
2024-04-02 14:26:35,53.3557,-6.280282,79,5.3,0.905
2024-04-02 14:26:36,53.355712,-6.280281,79,4.8,0.906
2024-04-02 14:26:37,53.355723,-6.280277,79,4.3,0.907
2024-04-02 14:26:38,53.355728,-6.280276,79,2.1,0.908
2024-04-02 14:27:59,53.355584,-6.280364,86,0.3,0.932
2024-04-02 14:28:00,53.355584,-6.280364,86,0.3,0.932
2024-04-02 14:28:01,53.355584,-6.280364,86,0.3,0.932
2024-04-02 14:28:02,53.355584,-6.280364,86,0.3,0.932
2024-04-02 14:28:03,53.355589,-6.280367,87,2.1,0.933
2024-04-02 14:28:04,53.355595,-6.280358,87,3.3,0.934
2024-04-02 14:28:05,53.355603,-6.28035,87,3.6,0.935
2024-04-02 14:28:06,53.35561,-6.280347,87,2.8,0.935
2024-04-02 14:28:07,53.355618,-6.280349,87,3.4,0.936
2024-04-02 14:28:08,53.355628,-6.28035,87,3.7,0.937
2024-04-02 14:28:09,53.355638,-6.280344,87,4.2,0.939
2024-04-02 14:28:10,53.355647,-6.280337,86,4.3,0.94
2024-04-02 14:28:11,53.355659,-6.28033,86,4.9,0.941
2024-04-02 14:28:12,53.355671,-6.280327,87,4.8,0.942
2024-04-02 14:28:13,53.355683,-6.280323,86,5.1,0.944
2024-04-02 14:28:14,53.355694,-6.28032,86,4.4,0.945
2024-04-02 14:28:15,53.355705,-6.280315,86,4.5,0.946
2024-04-02 14:28:16,53.355716,-6.28031,86,4.8,0.948
2024-04-02 14:28:17,53.355725,-6.280305,86,3.6,0.949
2024-04-02 14:28:18,53.355736,-6.280303,85,4.5,0.95
2024-04-02 14:28:19,53.355745,-6.280299,85,3.5,0.951
2024-04-02 14:28:20,53.355754,-6.280298,86,4,0.952
2024-04-02 14:28:21,53.355761,-6.280306,86,3.3,0.953
2024-04-02 14:28:22,53.355766,-6.28031,86,2,0.954
2024-04-02 14:30:58,53.355565,-6.280341,84,0.3,1.009
2024-04-02 14:30:59,53.355565,-6.280341,84,0.3,1.009
2024-04-02 14:31:00,53.355565,-6.280341,84,0.3,1.009
2024-04-02 14:31:01,53.355565,-6.280341,84,0.3,1.009
2024-04-02 14:31:02,53.355565,-6.280341,84,0.3,1.009
2024-04-02 14:31:03,53.355573,-6.280337,84,3.2,1.01
2024-04-02 14:31:04,53.355582,-6.280344,84,4.2,1.012
2024-04-02 14:31:05,53.355591,-6.280346,83,3.3,1.012
2024-04-02 14:31:06,53.355599,-6.280349,84,3.3,1.013
2024-04-02 14:31:07,53.355605,-6.280352,84,2.7,1.014
2024-04-02 14:31:08,53.355615,-6.28035,83,3.9,1.015
2024-04-02 14:31:09,53.355623,-6.280345,83,3.5,1.016
2024-04-02 14:31:10,53.355635,-6.280347,83,5,1.018
2024-04-02 14:31:11,53.355649,-6.280345,83,5.4,1.019
2024-04-02 14:31:12,53.355662,-6.280343,83,5.3,1.021
2024-04-02 14:31:13,53.355672,-6.280339,83,4.2,1.022
2024-04-02 14:31:14,53.355685,-6.280334,83,5.4,1.023
2024-04-02 14:31:15,53.355697,-6.280329,83,4.9,1.025
2024-04-02 14:31:16,53.355708,-6.280325,83,4.4,1.026
2024-04-02 14:31:17,53.355722,-6.280316,83,6.2,1.027
2024-04-02 14:31:18,53.355736,-6.280308,82,5.8,1.029
2024-04-02 14:31:19,53.355747,-6.280305,82,4.5,1.03
2024-04-02 14:31:20,53.355756,-6.280298,82,4,1.031
2024-04-02 14:31:21,53.355767,-6.280292,83,4.5,1.033
2024-04-02 14:31:22,53.355772,-6.280296,82,2.3,1.033
