name,time,addr,device,mean,rssi,sd,sequence_number
rssi,2024-04-02 14:27:03.003,e45f010a7b55,rasp0,-54,-54,0,1
rssi,2024-04-02 14:27:04.004,e45f010a7b55,rasp0,-57,-60,3,4
rssi,2024-04-02 14:27:04.004,e45f010a7b55,rasp0,-57.6666666666667,-59,2.62466929133727,10
rssi,2024-04-02 14:27:05.005,e45f010a7b55,rasp0,-57.5,-57,2.29128784747792,20
rssi,2024-04-02 14:27:06.006,e45f010a7b55,rasp0,-58,-60,2.28035085019828,26
rssi,2024-04-02 14:27:07.007,e45f010a7b55,rasp0,-57.8333333333333,-57,2.11476292340825,33
rssi,2024-04-02 14:27:07.007,e45f010a7b55,rasp0,-57.8571428571429,-58,1.95875845725744,36
rssi,2024-04-02 14:27:08.008,e45f010a7b55,rasp0,-58,-59,1.87082869338697,47
rssi,2024-04-02 14:27:08.008,e45f010a7b55,rasp0,-59,-67,3.33333333333333,52
rssi,2024-04-02 14:27:09.009,e45f010a7b55,rasp0,-58.8,-57,3.21869538788622,58
rssi,2024-04-02 14:27:09.009,e45f010a7b55,rasp0,-59.4,-60,2.8,63
rssi,2024-04-02 14:27:10.010,e45f010a7b55,rasp0,-59.2,-58,2.82134719593318,68
rssi,2024-04-02 14:27:11.011,e45f010a7b55,rasp0,-59.2,-59,2.82134719593318,74
rssi,2024-04-02 14:27:11.011,e45f010a7b55,rasp0,-58.4,-49,4.15210789840534,79
rssi,2024-04-02 14:27:12.012,e45f010a7b55,rasp0,-58.5,-61,4.20119030752,84
rssi,2024-04-02 14:27:12.012,e45f010a7b55,rasp0,-58.2,-54,4.4,90
rssi,2024-04-02 14:27:13.013,e45f010a7b55,rasp0,-56.8,-44,6.12862137841782,95
rssi,2024-04-02 14:27:13.013,e45f010a7b55,rasp0,-55.8,-49,6.49307323229917,100
rssi,2024-04-02 14:27:14.014,e45f010a7b55,rasp0,-53.6,-45,6.03655530911463,106
rssi,2024-04-02 14:27:14.014,e45f010a7b55,rasp0,-54.8,-69,7.58683069535626,112
rssi,2024-04-02 14:27:15.015,e45f010a7b55,rasp0,-54.7,-59,7.52396172239067,117
rssi,2024-04-02 14:27:15.015,e45f010a7b55,rasp0,-53.9,-50,7.55579247994544,122
rssi,2024-04-02 14:27:16.016,e45f010a7b55,rasp0,-54.4,-64,8.02745289615579,129
rssi,2024-04-02 14:27:17.017,e45f010a7b55,rasp0,-55.6,-61,8.02745289615579,133
rssi,2024-04-02 14:27:17.017,e45f010a7b55,rasp0,-55.7,-62,8.1,138
rssi,2024-04-02 14:27:18.018,e45f010a7b55,rasp0,-56.2,-59,8.1338797630651,143
rssi,2024-04-02 14:27:18.018,e45f010a7b55,rasp0,-58,-62,7.16937933157397,149
rssi,2024-04-02 14:27:19.019,e45f010a7b55,rasp0,-57.9,-48,7.3,155
rssi,2024-04-02 14:27:19.019,e45f010a7b55,rasp0,-59.4,-60,5.90254182534948,159
rssi,2024-04-02 14:27:20.020,e45f010a7b55,rasp0,-57.8,-53,5.21152568831815,164
rssi,2024-04-02 14:27:21.021,e45f010a7b55,rasp0,-57.7,-58,5.19711458407451,170
rssi,2024-04-02 14:27:21.021,e45f010a7b55,rasp0,-58.6,-59,4.52106182218293,175
rssi,2024-04-02 14:27:22.022,e45f010a7b55,rasp0,-59.6,-74,6.34350061086148,180
rssi,2024-04-02 14:27:22.022,e45f010a7b55,rasp0,-59.9,-64,6.47224845011376,187
