name,time,addr,device,mean,rssi,sd,sequence_number
rssi,2024-04-02 14:32:46.046,e45f010a7b55,rasp0,-53,-53,0,6
rssi,2024-04-02 14:32:55.055,e45f010a7b55,rasp0,-61.5,-70,8.5,97
rssi,2024-04-02 14:32:56.056,e45f010a7b55,rasp0,-60.3333333333333,-58,7.1336448530109,103
rssi,2024-04-02 14:32:57.057,e45f010a7b55,rasp0,-60.75,-62,6.21992765231236,109
rssi,2024-04-02 14:32:57.057,e45f010a7b55,rasp0,-60.2,-58,5.67097875150313,115
rssi,2024-04-02 14:32:58.058,e45f010a7b55,rasp0,-59,-53,5.8309518948453,121
rssi,2024-04-02 14:33:06.006,e45f010a7b55,rasp0,-59,-59,5.39841246505462,201
rssi,2024-04-02 14:33:07.007,e45f010a7b55,rasp0,-58.25,-53,5.42563360355268,207
rssi,2024-04-02 14:33:07.007,e45f010a7b55,rasp0,-60.5555555555556,-79,8.28802497732067,214
rssi,2024-04-02 14:33:08.008,e45f010a7b55,rasp0,-60.3,-58,7.9,221
rssi,2024-04-02 14:33:13.013,e45f010a7b55,rasp0,-62.1,-71,8.0802227692063,275
rssi,2024-04-02 14:33:14.014,e45f010a7b55,rasp0,-61.7,-66,7.77238702072922,279
rssi,2024-04-02 14:33:15.015,e45f010a7b55,rasp0,-63.1,-72,8.22739326883066,285
rssi,2024-04-02 14:33:15.015,e45f010a7b55,rasp0,-64.4,-75,8.94650769853802,290
rssi,2024-04-02 14:33:16.016,e45f010a7b55,rasp0,-65.6,-70,8.81135630876428,296
rssi,2024-04-02 14:33:16.016,e45f010a7b55,rasp0,-67.2,-69,7.76916983982201,301
rssi,2024-04-02 14:35:07.007,e45f010a7b55,rasp0,-54,-54,0,1
rssi,2024-04-02 14:35:14.014,e45f010a7b55,rasp0,-53.5,-53,0.5,73
rssi,2024-04-02 14:35:15.015,e45f010a7b55,rasp0,-53.3333333333333,-53,0.471404520791032,80
rssi,2024-04-02 14:35:20.020,e45f010a7b55,rasp0,-57.5,-70,7.22841614740048,126
rssi,2024-04-02 14:35:20.020,e45f010a7b55,rasp0,-57,-55,6.54217089351845,132
rssi,2024-04-02 14:35:21.021,e45f010a7b55,rasp0,-56.1666666666667,-52,6.25610812637449,140
rssi,2024-04-02 14:35:22.022,e45f010a7b55,rasp0,-56.1428571428571,-56,5.79232426648951,145
rssi,2024-04-02 14:35:22.022,e45f010a7b55,rasp0,-56,-55,5.43139024560011,151
rssi,2024-04-02 14:35:23.023,e45f010a7b55,rasp0,-55.4444444444444,-51,5.35643146364175,157
rssi,2024-04-02 14:35:24.024,e45f010a7b55,rasp0,-54.9,-50,5.33760245803301,164
rssi,2024-04-02 14:35:24.024,e45f010a7b55,rasp0,-55.1,-56,5.33760245803301,171
rssi,2024-04-02 14:35:25.025,e45f010a7b55,rasp0,-55,-52,5.3851648071345,176
rssi,2024-04-02 14:35:25.025,e45f010a7b55,rasp0,-55,-53,5.3851648071345,181
rssi,2024-04-02 14:35:26.026,e45f010a7b55,rasp0,-52.4,-44,3.44093010681705,187
rssi,2024-04-02 14:35:34.034,e45f010a7b55,rasp0,-55.2,-83,9.84682690007294,268
rssi,2024-04-02 14:35:35.035,e45f010a7b55,rasp0,-56.3,-63,10.0404183179786,274
rssi,2024-04-02 14:35:36.036,e45f010a7b55,rasp0,-57.5,-68,10.632497354808,280
rssi,2024-04-02 14:35:41.041,e45f010a7b55,rasp0,-58.3,-63,10.7149428369917,329
rssi,2024-04-02 14:35:42.042,e45f010a7b55,rasp0,-60.6,-74,11.3507708989302,338
rssi,2024-04-02 14:37:21.021,e45f010a7b55,rasp0,-51,-51,0,2
rssi,2024-04-02 14:37:29.029,e45f010a7b55,rasp0,-55,-59,4,72
rssi,2024-04-02 14:37:29.029,e45f010a7b55,rasp0,-54.3333333333333,-53,3.39934634239519,78
rssi,2024-04-02 14:37:30.030,e45f010a7b55,rasp0,-55.5,-59,3.57071421427143,84
rssi,2024-04-02 14:37:31.031,e45f010a7b55,rasp0,-55.6,-56,3.2,90
rssi,2024-04-02 14:37:31.031,e45f010a7b55,rasp0,-55.3333333333333,-54,2.98142396999972,96
rssi,2024-04-02 14:37:32.032,e45f010a7b55,rasp0,-54.7142857142857,-51,3.14934395500694,102
rssi,2024-04-02 14:37:38.038,e45f010a7b55,rasp0,-52.875,-40,5.68853012649138,160
rssi,2024-04-02 14:37:39.039,e45f010a7b55,rasp0,-51.8888888888889,-44,6.04509800388242,166
rssi,2024-04-02 14:37:39.039,e45f010a7b55,rasp0,-51.4,-47,5.9194594347795,172
rssi,2024-04-02 14:37:40.040,e45f010a7b55,rasp0,-51.9,-56,6.07371385562409,177
rssi,2024-04-02 14:37:40.040,e45f010a7b55,rasp0,-52.5,-65,6.97495519698872,184
rssi,2024-04-02 14:37:49.049,e45f010a7b55,rasp0,-55.9,-87,12.4935983607606,272
rssi,2024-04-02 14:37:50.050,e45f010a7b55,rasp0,-57.2,-72,13.3925352342266,279
