name,time,advertising_interval,sequence_number
rssi,2024-04-02 14:11:29.029,500,1
rssi,2024-04-02 14:11:29.029,500,2
rssi,2024-04-02 14:11:30.030,500,3
rssi,2024-04-02 14:11:30.030,500,4
rssi,2024-04-02 14:11:31.031,500,5
rssi,2024-04-02 14:11:31.031,500,6
rssi,2024-04-02 14:11:32.032,500,7
rssi,2024-04-02 14:11:32.032,500,8
rssi,2024-04-02 14:11:33.033,500,9
rssi,2024-04-02 14:11:33.033,500,10
rssi,2024-04-02 14:11:34.034,500,11
rssi,2024-04-02 14:11:34.034,500,12
rssi,2024-04-02 14:11:35.035,500,13
rssi,2024-04-02 14:11:35.035,500,14
rssi,2024-04-02 14:11:36.036,500,15
rssi,2024-04-02 14:11:36.036,500,16
rssi,2024-04-02 14:11:37.037,500,17
rssi,2024-04-02 14:11:37.037,500,18
rssi,2024-04-02 14:11:38.038,500,19
rssi,2024-04-02 14:11:38.038,500,20
rssi,2024-04-02 14:11:39.039,500,21
rssi,2024-04-02 14:11:39.039,500,22
rssi,2024-04-02 14:11:40.040,500,23
rssi,2024-04-02 14:11:40.040,500,24
rssi,2024-04-02 14:11:41.041,500,25
rssi,2024-04-02 14:11:41.041,500,26
rssi,2024-04-02 14:11:42.042,500,27
rssi,2024-04-02 14:11:42.042,500,28
rssi,2024-04-02 14:11:43.043,500,29
rssi,2024-04-02 14:11:43.043,500,30
rssi,2024-04-02 14:11:44.044,500,31
rssi,2024-04-02 14:11:44.044,500,32
rssi,2024-04-02 14:11:45.045,500,33
rssi,2024-04-02 14:11:45.045,500,34
rssi,2024-04-02 14:11:46.046,500,35
rssi,2024-04-02 14:11:46.046,500,36
rssi,2024-04-02 14:11:47.047,500,37
rssi,2024-04-02 14:11:47.047,500,38
rssi,2024-04-02 14:11:48.048,500,39
rssi,2024-04-02 14:11:48.048,500,40
rssi,2024-04-02 14:11:49.049,500,41
rssi,2024-04-02 14:11:49.049,500,42
rssi,2024-04-02 14:11:50.050,500,43
rssi,2024-04-02 14:11:50.050,500,44
rssi,2024-04-02 14:11:51.051,500,45
rssi,2024-04-02 14:13:02.002,500,1
rssi,2024-04-02 14:13:03.003,500,2
rssi,2024-04-02 14:13:03.003,500,3
rssi,2024-04-02 14:13:04.004,500,4
rssi,2024-04-02 14:13:04.004,500,5
rssi,2024-04-02 14:13:05.005,500,6
rssi,2024-04-02 14:13:05.005,500,7
rssi,2024-04-02 14:13:06.006,500,8
rssi,2024-04-02 14:13:06.006,500,9
rssi,2024-04-02 14:13:07.007,500,10
rssi,2024-04-02 14:13:07.007,500,11
rssi,2024-04-02 14:13:08.008,500,12
rssi,2024-04-02 14:13:08.008,500,13
rssi,2024-04-02 14:13:09.009,500,14
rssi,2024-04-02 14:13:09.009,500,15
rssi,2024-04-02 14:13:10.010,500,16
rssi,2024-04-02 14:13:10.010,500,17
rssi,2024-04-02 14:13:11.011,500,18
rssi,2024-04-02 14:13:11.011,500,19
rssi,2024-04-02 14:13:12.012,500,20
rssi,2024-04-02 14:13:12.012,500,21
rssi,2024-04-02 14:13:13.013,500,22
rssi,2024-04-02 14:13:13.013,500,23
rssi,2024-04-02 14:13:14.014,500,24
rssi,2024-04-02 14:13:14.014,500,25
rssi,2024-04-02 14:13:15.015,500,26
rssi,2024-04-02 14:13:15.015,500,27
rssi,2024-04-02 14:13:16.016,500,28
rssi,2024-04-02 14:13:16.016,500,29
rssi,2024-04-02 14:13:17.017,500,30
rssi,2024-04-02 14:13:17.017,500,31
rssi,2024-04-02 14:13:18.018,500,32
rssi,2024-04-02 14:13:18.018,500,33
rssi,2024-04-02 14:13:19.019,500,34
rssi,2024-04-02 14:13:19.019,500,35
rssi,2024-04-02 14:13:20.020,500,36
rssi,2024-04-02 14:13:20.020,500,37
rssi,2024-04-02 14:13:21.021,500,38
rssi,2024-04-02 14:13:21.021,500,39
rssi,2024-04-02 14:13:22.022,500,40
rssi,2024-04-02 14:13:22.022,500,41
rssi,2024-04-02 14:13:23.023,500,42
rssi,2024-04-02 14:13:23.023,500,43
rssi,2024-04-02 14:13:24.024,500,44
rssi,2024-04-02 14:13:24.024,500,45
rssi,2024-04-02 14:13:25.025,500,46
rssi,2024-04-02 14:13:25.025,500,47
rssi,2024-04-02 14:13:26.026,500,48
rssi,2024-04-02 14:13:26.026,500,49
rssi,2024-04-02 14:13:27.027,500,50
rssi,2024-04-02 14:14:16.016,500,1
rssi,2024-04-02 14:14:16.016,500,2
rssi,2024-04-02 14:14:17.017,500,3
rssi,2024-04-02 14:14:17.017,500,4
rssi,2024-04-02 14:14:18.018,500,5
rssi,2024-04-02 14:14:18.018,500,6
rssi,2024-04-02 14:14:19.019,500,7
rssi,2024-04-02 14:14:19.019,500,8
rssi,2024-04-02 14:14:20.020,500,9
rssi,2024-04-02 14:14:20.020,500,10
rssi,2024-04-02 14:14:21.021,500,11
rssi,2024-04-02 14:14:21.021,500,12
rssi,2024-04-02 14:14:22.022,500,13
rssi,2024-04-02 14:14:22.022,500,14
rssi,2024-04-02 14:14:23.023,500,15
rssi,2024-04-02 14:14:23.023,500,16
rssi,2024-04-02 14:14:24.024,500,17
rssi,2024-04-02 14:14:24.024,500,18
rssi,2024-04-02 14:14:25.025,500,19
rssi,2024-04-02 14:14:25.025,500,20
rssi,2024-04-02 14:14:26.026,500,21
rssi,2024-04-02 14:14:26.026,500,22
rssi,2024-04-02 14:14:27.027,500,23
rssi,2024-04-02 14:14:27.027,500,24
rssi,2024-04-02 14:14:28.028,500,25
rssi,2024-04-02 14:14:28.028,500,26
rssi,2024-04-02 14:14:29.029,500,27
rssi,2024-04-02 14:14:29.029,500,28
rssi,2024-04-02 14:14:30.030,500,29
rssi,2024-04-02 14:14:30.030,500,30
rssi,2024-04-02 14:14:31.031,500,31
rssi,2024-04-02 14:14:31.031,500,32
rssi,2024-04-02 14:14:32.032,500,33
rssi,2024-04-02 14:14:32.032,500,34
rssi,2024-04-02 14:14:33.033,500,35
rssi,2024-04-02 14:14:33.033,500,36
rssi,2024-04-02 14:14:34.034,500,37
rssi,2024-04-02 14:14:34.034,500,38
rssi,2024-04-02 14:14:35.035,500,39
rssi,2024-04-02 14:14:35.035,500,40
rssi,2024-04-02 14:14:36.036,500,41
rssi,2024-04-02 14:14:36.036,500,42
rssi,2024-04-02 14:14:37.037,500,43
rssi,2024-04-02 14:14:37.037,500,44
rssi,2024-04-02 14:14:38.038,500,45
