name,time,advertising_interval,sequence_number
rssi,2024-04-02 13:53:04,1000,1
rssi,2024-04-02 13:53:05,1000,2
rssi,2024-04-02 13:53:06,1000,3
rssi,2024-04-02 13:53:07,1000,4
rssi,2024-04-02 13:53:08,1000,5
rssi,2024-04-02 13:53:09,1000,6
rssi,2024-04-02 13:53:10,1000,7
rssi,2024-04-02 13:53:11,1000,8
rssi,2024-04-02 13:53:12,1000,9
rssi,2024-04-02 13:53:13,1000,10
rssi,2024-04-02 13:53:14,1000,11
rssi,2024-04-02 13:53:15,1000,12
rssi,2024-04-02 13:53:16,1000,13
rssi,2024-04-02 13:53:17,1000,14
rssi,2024-04-02 13:53:18,1000,15
rssi,2024-04-02 13:53:19,1000,16
rssi,2024-04-02 13:53:20,1000,17
rssi,2024-04-02 13:53:21,1000,18
rssi,2024-04-02 13:53:22,1000,19
rssi,2024-04-02 13:53:23,1000,20
rssi,2024-04-02 13:53:24,1000,21
rssi,2024-04-02 13:53:25,1000,22
rssi,2024-04-02 13:53:26,1000,23
rssi,2024-04-02 13:53:27,1000,24
rssi,2024-04-02 13:53:28,1000,25
rssi,2024-04-02 13:53:29,1000,26
rssi,2024-04-02 13:55:07,1000,1
rssi,2024-04-02 13:55:08,1000,2
rssi,2024-04-02 13:55:09,1000,3
rssi,2024-04-02 13:55:10,1000,4
rssi,2024-04-02 13:55:11,1000,5
rssi,2024-04-02 13:55:12,1000,6
rssi,2024-04-02 13:55:13,1000,7
rssi,2024-04-02 13:55:14,1000,8
rssi,2024-04-02 13:55:15,1000,9
rssi,2024-04-02 13:55:16,1000,10
rssi,2024-04-02 13:55:17,1000,11
rssi,2024-04-02 13:55:18,1000,12
rssi,2024-04-02 13:55:19,1000,13
rssi,2024-04-02 13:55:20,1000,14
rssi,2024-04-02 13:55:21,1000,15
rssi,2024-04-02 13:55:22,1000,16
rssi,2024-04-02 13:55:23,1000,17
rssi,2024-04-02 13:55:24,1000,18
rssi,2024-04-02 13:55:25,1000,19
rssi,2024-04-02 13:55:26,1000,20
rssi,2024-04-02 13:55:27,1000,21
rssi,2024-04-02 13:55:28,1000,22
rssi,2024-04-02 13:55:29,1000,23
rssi,2024-04-02 13:55:30,1000,24
rssi,2024-04-02 13:56:35,1000,1
rssi,2024-04-02 13:56:36,1000,2
rssi,2024-04-02 13:56:37,1000,3
rssi,2024-04-02 13:56:38,1000,4
rssi,2024-04-02 13:56:39,1000,5
rssi,2024-04-02 13:56:40,1000,6
rssi,2024-04-02 13:56:41,1000,7
rssi,2024-04-02 13:56:42,1000,8
rssi,2024-04-02 13:56:43,1000,9
rssi,2024-04-02 13:56:44,1000,10
rssi,2024-04-02 13:56:45,1000,11
rssi,2024-04-02 13:56:46,1000,12
rssi,2024-04-02 13:56:47,1000,13
rssi,2024-04-02 13:56:48,1000,14
rssi,2024-04-02 13:56:49,1000,15
rssi,2024-04-02 13:56:50,1000,16
rssi,2024-04-02 13:56:51,1000,17
rssi,2024-04-02 13:56:52,1000,18
rssi,2024-04-02 13:56:53,1000,19
rssi,2024-04-02 13:56:54,1000,20
rssi,2024-04-02 13:56:55,1000,21
rssi,2024-04-02 13:56:56,1000,22
rssi,2024-04-02 13:56:57,1000,23
rssi,2024-04-02 13:56:58,1000,24
rssi,2024-04-02 13:56:59,1000,25
