name,time,addr,device,mean,rssi,sd,sequence_number
rssi,2024-04-02 13:54:02,e45f010a7b55,rasp0,-50,-50,0,1
rssi,2024-04-02 13:54:03,e45f010a7b55,rasp0,-51,-52,1,2
rssi,2024-04-02 13:54:04,e45f010a7b55,rasp0,-52,-54,1.63299316185545,3
rssi,2024-04-02 13:54:05,e45f010a7b55,rasp0,-53.5,-58,2.95803989154981,4
rssi,2024-04-02 13:54:10,e45f010a7b55,rasp0,-55,-61,4,9
rssi,2024-04-02 13:54:11,e45f010a7b55,rasp0,-58.3333333333333,-75,8.29993306532582,10
rssi,2024-04-02 13:54:12,e45f010a7b55,rasp0,-60.2857142857143,-72,9.05087660654695,11
rssi,2024-04-02 13:54:13,e45f010a7b55,rasp0,-60.125,-59,8.47699091659299,12
rssi,2024-04-02 13:54:14,e45f010a7b55,rasp0,-59.6666666666667,-56,8.09663853432741,13
rssi,2024-04-02 13:54:16,e45f010a7b55,rasp0,-58.8,-51,8.10925397308532,15
rssi,2024-04-02 13:54:17,e45f010a7b55,rasp0,-58.9,-51,8.00562302385017,16
rssi,2024-04-02 13:54:18,e45f010a7b55,rasp0,-58.5,-48,8.42911620515461,17
rssi,2024-04-02 13:54:20,e45f010a7b55,rasp0,-58.9,-58,8.3,19
rssi,2024-04-02 13:54:25,e45f010a7b55,rasp0,-59.1,-60,8.3,24
rssi,2024-04-02 13:54:26,e45f010a7b55,rasp0,-58.9,-59,8.27586853448023,25
rssi,2024-04-02 13:54:28,e45f010a7b55,rasp0,-56.7,-53,6.41950153828161,27
rssi,2024-04-02 13:54:29,e45f010a7b55,rasp0,-55,-55,3.89871773792359,28
rssi,2024-04-02 13:54:30,e45f010a7b55,rasp0,-56,-69,5.67450438364444,29
rssi,2024-04-02 13:55:52,e45f010a7b55,rasp0,-57,-57,0,2
rssi,2024-04-02 13:55:54,e45f010a7b55,rasp0,-58,-59,1,4
rssi,2024-04-02 13:55:55,e45f010a7b55,rasp0,-57.3333333333333,-56,1.24721912892465,5
rssi,2024-04-02 13:55:56,e45f010a7b55,rasp0,-57.25,-57,1.08972473588517,6
rssi,2024-04-02 13:55:57,e45f010a7b55,rasp0,-58,-61,1.78885438199983,7
rssi,2024-04-02 13:55:58,e45f010a7b55,rasp0,-60.8333333333333,-75,6.54259547546351,8
rssi,2024-04-02 13:56:01,e45f010a7b55,rasp0,-59.7142857142857,-53,6.64861501612577,11
rssi,2024-04-02 13:56:02,e45f010a7b55,rasp0,-59.75,-60,6.21992765231236,12
rssi,2024-04-02 13:56:03,e45f010a7b55,rasp0,-58.5555555555556,-49,6.76775214792936,13
rssi,2024-04-02 13:56:08,e45f010a7b55,rasp0,-58.7,-60,6.43506021727847,18
rssi,2024-04-02 13:56:09,e45f010a7b55,rasp0,-58.7,-57,6.43506021727847,19
rssi,2024-04-02 13:56:10,e45f010a7b55,rasp0,-58.4,-56,6.48382603097893,20
rssi,2024-04-02 13:56:11,e45f010a7b55,rasp0,-58.8,-60,6.44670458451448,21
rssi,2024-04-02 13:56:12,e45f010a7b55,rasp0,-59,-59,6.41872261435249,22
rssi,2024-04-02 13:57:22,e45f010a7b55,rasp0,-55,-55,0,1
rssi,2024-04-02 13:57:23,e45f010a7b55,rasp0,-55.5,-56,0.5,2
rssi,2024-04-02 13:57:24,e45f010a7b55,rasp0,-55.3333333333333,-55,0.471404520791032,3
rssi,2024-04-02 13:57:26,e45f010a7b55,rasp0,-56.5,-60,2.06155281280883,5
rssi,2024-04-02 13:57:29,e45f010a7b55,rasp0,-56.4,-56,1.85472369909914,8
rssi,2024-04-02 13:57:30,e45f010a7b55,rasp0,-54.6666666666667,-46,4.22952584681651,9
rssi,2024-04-02 13:57:33,e45f010a7b55,rasp0,-56,-64,5.09901951359278,12
rssi,2024-04-02 13:57:36,e45f010a7b55,rasp0,-56.25,-58,4.81534007106456,15
rssi,2024-04-02 13:57:37,e45f010a7b55,rasp0,-56,-54,4.59468291736341,16
rssi,2024-04-02 13:57:39,e45f010a7b55,rasp0,-56.7,-63,4.83838816136118,18
rssi,2024-04-02 13:57:42,e45f010a7b55,rasp0,-59.4,-82,8.93532316147547,21
rssi,2024-04-02 13:57:43,e45f010a7b55,rasp0,-61.2,-74,9.83666610188635,22
rssi,2024-04-02 13:57:44,e45f010a7b55,rasp0,-63.3,-76,10.5076162853427,23
