name,time,advertising_interval,sequence_number
rssi,2024-04-02 14:34:13,100,1
rssi,2024-04-02 14:34:13,100,2
rssi,2024-04-02 14:34:13,100,3
rssi,2024-04-02 14:34:13,100,4
rssi,2024-04-02 14:34:14,100,5
rssi,2024-04-02 14:34:14,100,6
rssi,2024-04-02 14:34:14,100,7
rssi,2024-04-02 14:34:14,100,8
rssi,2024-04-02 14:34:14,100,9
rssi,2024-04-02 14:34:14,100,10
rssi,2024-04-02 14:34:14,100,11
rssi,2024-04-02 14:34:14,100,12
rssi,2024-04-02 14:34:14,100,13
rssi,2024-04-02 14:34:15,100,14
rssi,2024-04-02 14:34:15,100,15
rssi,2024-04-02 14:34:15,100,16
rssi,2024-04-02 14:34:15,100,17
rssi,2024-04-02 14:34:15,100,18
rssi,2024-04-02 14:34:15,100,19
rssi,2024-04-02 14:34:15,100,20
rssi,2024-04-02 14:34:15,100,21
rssi,2024-04-02 14:34:15,100,22
rssi,2024-04-02 14:34:15,100,23
rssi,2024-04-02 14:34:16,100,24
rssi,2024-04-02 14:34:16,100,25
rssi,2024-04-02 14:34:16,100,26
rssi,2024-04-02 14:34:16,100,27
rssi,2024-04-02 14:34:16,100,28
rssi,2024-04-02 14:34:16,100,29
rssi,2024-04-02 14:34:16,100,30
rssi,2024-04-02 14:34:16,100,31
rssi,2024-04-02 14:34:16,100,32
rssi,2024-04-02 14:34:16,100,33
rssi,2024-04-02 14:34:17,100,34
rssi,2024-04-02 14:34:17,100,35
rssi,2024-04-02 14:34:17,100,36
rssi,2024-04-02 14:34:17,100,37
rssi,2024-04-02 14:34:17,100,38
rssi,2024-04-02 14:34:17,100,39
rssi,2024-04-02 14:34:17,100,40
rssi,2024-04-02 14:34:17,100,41
rssi,2024-04-02 14:34:17,100,42
rssi,2024-04-02 14:34:18,100,43
rssi,2024-04-02 14:34:18,100,44
rssi,2024-04-02 14:34:18,100,45
rssi,2024-04-02 14:34:18,100,46
rssi,2024-04-02 14:34:18,100,47
rssi,2024-04-02 14:34:18,100,48
rssi,2024-04-02 14:34:18,100,49
rssi,2024-04-02 14:34:18,100,50
rssi,2024-04-02 14:34:18,100,51
rssi,2024-04-02 14:34:18,100,52
rssi,2024-04-02 14:34:19,100,53
rssi,2024-04-02 14:34:19,100,54
rssi,2024-04-02 14:34:19,100,55
rssi,2024-04-02 14:34:19,100,56
rssi,2024-04-02 14:34:19,100,57
rssi,2024-04-02 14:34:19,100,58
rssi,2024-04-02 14:34:19,100,59
rssi,2024-04-02 14:34:19,100,60
rssi,2024-04-02 14:34:19,100,61
rssi,2024-04-02 14:34:19,100,62
rssi,2024-04-02 14:34:20,100,63
rssi,2024-04-02 14:34:20,100,64
rssi,2024-04-02 14:34:20,100,65
rssi,2024-04-02 14:34:20,100,66
rssi,2024-04-02 14:34:20,100,67
rssi,2024-04-02 14:34:20,100,68
rssi,2024-04-02 14:34:20,100,69
rssi,2024-04-02 14:34:20,100,70
rssi,2024-04-02 14:34:20,100,71
rssi,2024-04-02 14:34:20,100,72
rssi,2024-04-02 14:34:21,100,73
rssi,2024-04-02 14:34:21,100,74
rssi,2024-04-02 14:34:21,100,75
rssi,2024-04-02 14:34:21,100,76
rssi,2024-04-02 14:34:21,100,77
rssi,2024-04-02 14:34:21,100,78
rssi,2024-04-02 14:34:21,100,79
rssi,2024-04-02 14:34:21,100,80
rssi,2024-04-02 14:34:21,100,81
rssi,2024-04-02 14:34:22,100,82
rssi,2024-04-02 14:34:22,100,83
rssi,2024-04-02 14:34:22,100,84
rssi,2024-04-02 14:34:22,100,85
rssi,2024-04-02 14:34:22,100,86
rssi,2024-04-02 14:34:22,100,87
rssi,2024-04-02 14:34:22,100,88
rssi,2024-04-02 14:34:22,100,89
rssi,2024-04-02 14:34:22,100,90
rssi,2024-04-02 14:34:22,100,91
rssi,2024-04-02 14:34:23,100,92
rssi,2024-04-02 14:34:23,100,93
rssi,2024-04-02 14:34:23,100,94
rssi,2024-04-02 14:34:23,100,95
rssi,2024-04-02 14:34:23,100,96
rssi,2024-04-02 14:34:23,100,97
rssi,2024-04-02 14:34:23,100,98
rssi,2024-04-02 14:34:23,100,99
