time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:34:13,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:14,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:15,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:16,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:17,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:18,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:19,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:20,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:21,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:22,53.355738,-6.280298,85,0,1.083
2024-04-02 14:34:23,53.355731,-6.280306,86,3.4,1.084
2024-04-02 14:34:24,53.355716,-6.28031,86,6.2,1.086
2024-04-02 14:34:25,53.355704,-6.280312,86,4.9,1.087
2024-04-02 14:34:26,53.355693,-6.280313,85,4.4,1.088
2024-04-02 14:34:27,53.355682,-6.280314,85,4.2,1.089
2024-04-02 14:34:28,53.35567,-6.280315,85,4.7,1.091
2024-04-02 14:34:29,53.355658,-6.28031,85,5.2,1.092
2024-04-02 14:34:30,53.355648,-6.280307,85,3.8,1.093
2024-04-02 14:34:31,53.355637,-6.280304,85,4.6,1.094
2024-04-02 14:34:32,53.355624,-6.280307,86,5.5,1.096
2024-04-02 14:34:33,53.355616,-6.280313,86,3.3,1.097
2024-04-02 14:34:34,53.355607,-6.280318,86,3.8,1.098
2024-04-02 14:34:35,53.355597,-6.280318,86,4,1.099
2024-04-02 14:34:36,53.355586,-6.28032,86,4.4,1.1
2024-04-02 14:34:37,53.35558,-6.280327,86,3.1,1.101
2024-04-02 14:34:38,53.355572,-6.280325,87,3.1,1.102
2024-04-02 14:34:39,53.355564,-6.280329,87,3.1,1.103
2024-04-02 14:34:40,53.355557,-6.28033,87,3,1.104
2024-04-02 14:34:41,53.355559,-6.28033,87,0.8,1.104
2024-04-02 14:34:42,53.355561,-6.280328,87,1,1.104
2024-04-02 14:34:43,53.355561,-6.280323,87,1.2,1.104
2024-04-02 14:36:21,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:22,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:23,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:24,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:25,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:26,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:27,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:28,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:29,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:30,53.355728,-6.280302,84,0,1.125
2024-04-02 14:36:31,53.355721,-6.280323,84,5.6,1.127
2024-04-02 14:36:32,53.355717,-6.280336,84,3.5,1.128
2024-04-02 14:36:33,53.355711,-6.280349,84,3.8,1.129
2024-04-02 14:36:34,53.355704,-6.280358,84,3.6,1.13
2024-04-02 14:36:35,53.355694,-6.280358,84,4.1,1.131
2024-04-02 14:36:36,53.355685,-6.280361,84,3.5,1.132
2024-04-02 14:36:37,53.355674,-6.280361,84,4.5,1.133
2024-04-02 14:36:38,53.355663,-6.280357,84,4.5,1.134
2024-04-02 14:36:39,53.355655,-6.280353,85,3.3,1.135
2024-04-02 14:36:40,53.355643,-6.280349,85,5.1,1.137
2024-04-02 14:36:41,53.35563,-6.28034,86,5.4,1.138
2024-04-02 14:36:42,53.355618,-6.280339,86,4.6,1.139
2024-04-02 14:36:43,53.355606,-6.280342,85,5,1.141
2024-04-02 14:36:44,53.355597,-6.280346,86,3.9,1.142
2024-04-02 14:36:45,53.355586,-6.280353,85,4.6,1.143
