time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:32:45,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:46,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:47,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:48,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:49,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:50,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:51,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:52,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:53,53.355573,-6.280375,80,0.3,1.062
2024-04-02 14:32:54,53.355573,-6.280375,80,0.3,1.063
2024-04-02 14:32:55,53.355573,-6.280375,80,0.3,1.063
2024-04-02 14:32:56,53.355573,-6.280375,80,0.3,1.063
2024-04-02 14:32:57,53.355573,-6.280375,80,0.3,1.063
2024-04-02 14:32:58,53.355575,-6.280371,81,1.2,1.063
2024-04-02 14:32:59,53.355583,-6.280362,81,3.9,1.064
2024-04-02 14:33:00,53.355595,-6.280348,82,5.9,1.066
2024-04-02 14:33:01,53.355603,-6.280343,82,3.4,1.067
2024-04-02 14:33:02,53.355613,-6.280337,82,4.3,1.068
2024-04-02 14:33:03,53.355618,-6.280334,82,2.2,1.069
2024-04-02 14:33:04,53.355626,-6.28033,83,3,1.07
2024-04-02 14:33:05,53.355633,-6.280328,83,3,1.07
2024-04-02 14:33:06,53.355638,-6.280321,83,2.6,1.071
2024-04-02 14:33:07,53.355646,-6.280317,83,3.4,1.072
2024-04-02 14:33:08,53.355653,-6.280314,83,2.8,1.073
2024-04-02 14:33:09,53.35566,-6.280311,83,3,1.074
2024-04-02 14:33:10,53.355667,-6.280303,83,3.3,1.075
2024-04-02 14:33:11,53.355677,-6.280295,83,4.6,1.076
2024-04-02 14:33:12,53.355689,-6.280291,83,4.6,1.077
2024-04-02 14:33:13,53.355699,-6.280289,83,4.2,1.078
2024-04-02 14:33:14,53.355709,-6.280291,84,4,1.079
2024-04-02 14:33:15,53.355718,-6.280287,84,4,1.08
2024-04-02 14:33:16,53.355727,-6.280286,84,3.5,1.081
2024-04-02 14:33:17,53.355733,-6.280291,84,2.7,1.082
2024-04-02 14:35:07,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:08,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:09,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:10,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:11,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:12,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:13,53.355559,-6.280334,88,0,1.105
2024-04-02 14:35:14,53.355559,-6.280334,88,0,1.105
