name,time,addr,device,mean,rssi,sd,sequence_number
rssi,2024-04-02 14:15:57,e45f010a7b55,rasp0,-55,-55,0,2
rssi,2024-04-02 14:15:58,e45f010a7b55,rasp0,-54.5,-54,0.5,5
rssi,2024-04-02 14:15:59,e45f010a7b55,rasp0,-54.6666666666667,-55,0.471404520791032,6
rssi,2024-04-02 14:16:00,e45f010a7b55,rasp0,-54.25,-53,0.82915619758885,7
rssi,2024-04-02 14:16:00,e45f010a7b55,rasp0,-53.8,-52,1.16619037896906,8
rssi,2024-04-02 14:16:00,e45f010a7b55,rasp0,-53.6666666666667,-53,1.10554159678513,9
rssi,2024-04-02 14:16:05,e45f010a7b55,rasp0,-53.4285714285714,-52,1.1780301787479,17
rssi,2024-04-02 14:16:05,e45f010a7b55,rasp0,-52.875,-49,1.8328597873269,18
rssi,2024-04-02 14:16:06,e45f010a7b55,rasp0,-52.6666666666667,-51,1.82574185835055,20
rssi,2024-04-02 14:16:07,e45f010a7b55,rasp0,-51.5,-41,3.90512483795333,21
rssi,2024-04-02 14:16:07,e45f010a7b55,rasp0,-50.2,-42,4.62168800331654,22
rssi,2024-04-02 14:16:07,e45f010a7b55,rasp0,-49.4,-46,4.58693797647189,23
rssi,2024-04-02 14:16:08,e45f010a7b55,rasp0,-48.9,-50,4.20594816896262,24
rssi,2024-04-02 14:16:09,e45f010a7b55,rasp0,-49.4,-58,4.9030602688525,27
rssi,2024-04-02 14:16:11,e45f010a7b55,rasp0,-49.3,-51,4.85901224530254,29
rssi,2024-04-02 14:16:11,e45f010a7b55,rasp0,-49.9,-59,5.5937465083788,30
rssi,2024-04-02 14:16:12,e45f010a7b55,rasp0,-49.9,-52,5.5937465083788,31
rssi,2024-04-02 14:16:12,e45f010a7b55,rasp0,-49.9,-49,5.5937465083788,32
rssi,2024-04-02 14:16:13,e45f010a7b55,rasp0,-49.6,-48,5.60713830755047,33
rssi,2024-04-02 14:16:13,e45f010a7b55,rasp0,-50.5,-50,4.82182538049648,34
rssi,2024-04-02 14:16:14,e45f010a7b55,rasp0,-51.8,-55,4.04474968323134,35
rssi,2024-04-02 14:16:14,e45f010a7b55,rasp0,-53.4,-62,4.56508488420533,36
rssi,2024-04-02 14:16:16,e45f010a7b55,rasp0,-54.5,-61,4.92442890089805,39
rssi,2024-04-02 14:16:17,e45f010a7b55,rasp0,-54.8,-61,5.21152568831815,41
rssi,2024-04-02 14:16:17,e45f010a7b55,rasp0,-56.1,-64,5.7,42
rssi,2024-04-02 14:16:18,e45f010a7b55,rasp0,-55.2,-50,5.87877538267963,44
rssi,2024-04-02 14:17:15,e45f010a7b55,rasp0,-55,-55,0,1
rssi,2024-04-02 14:17:16,e45f010a7b55,rasp0,-55.5,-56,0.5,3
rssi,2024-04-02 14:17:18,e45f010a7b55,rasp0,-56,-57,0.816496580927726,6
rssi,2024-04-02 14:17:19,e45f010a7b55,rasp0,-56.25,-57,0.82915619758885,8
rssi,2024-04-02 14:17:20,e45f010a7b55,rasp0,-56.4,-57,0.8,9
rssi,2024-04-02 14:17:20,e45f010a7b55,rasp0,-55.8333333333333,-53,1.46249406456535,10
rssi,2024-04-02 14:17:21,e45f010a7b55,rasp0,-55.7142857142857,-55,1.38505138783324,11
rssi,2024-04-02 14:17:21,e45f010a7b55,rasp0,-55.625,-55,1.31695671910659,12
rssi,2024-04-02 14:17:23,e45f010a7b55,rasp0,-54.7777777777778,-48,2.69887951144247,15
rssi,2024-04-02 14:17:24,e45f010a7b55,rasp0,-54.3,-50,2.93428015022424,17
rssi,2024-04-02 14:17:25,e45f010a7b55,rasp0,-53.7,-49,3.31813200460741,19
rssi,2024-04-02 14:17:25,e45f010a7b55,rasp0,-52.8,-47,3.76297754444536,20
rssi,2024-04-02 14:17:26,e45f010a7b55,rasp0,-52.3,-52,3.49428104193123,21
rssi,2024-04-02 14:17:26,e45f010a7b55,rasp0,-50.9,-43,4.0853396431631,22
rssi,2024-04-02 14:17:27,e45f010a7b55,rasp0,-49.7,-45,3.8742741255621,23
rssi,2024-04-02 14:17:27,e45f010a7b55,rasp0,-49.3,-49,3.71618083521241,24
rssi,2024-04-02 14:17:29,e45f010a7b55,rasp0,-49.4,-56,3.87814388593306,27
rssi,2024-04-02 14:17:29,e45f010a7b55,rasp0,-48.9,-50,3.41906419945575,28
rssi,2024-04-02 14:17:30,e45f010a7b55,rasp0,-48.7,-46,3.52278299076171,30
rssi,2024-04-02 14:17:31,e45f010a7b55,rasp0,-48.8,-51,3.57211421989835,31
rssi,2024-04-02 14:17:31,e45f010a7b55,rasp0,-49.9,-60,4.90815647672321,32
rssi,2024-04-02 14:17:32,e45f010a7b55,rasp0,-50.1,-49,4.82597140480546,34
rssi,2024-04-02 14:17:33,e45f010a7b55,rasp0,-50.3,-54,4.94064773081425,35
rssi,2024-04-02 14:17:33,e45f010a7b55,rasp0,-51.8,-58,4.77074417675063,36
rssi,2024-04-02 14:17:34,e45f010a7b55,rasp0,-53.2,-59,4.62168800331654,37
rssi,2024-04-02 14:17:34,e45f010a7b55,rasp0,-54.4,-61,4.92341345003647,38
rssi,2024-04-02 14:17:37,e45f010a7b55,rasp0,-55.4,-66,6.03655530911463,44
rssi,2024-04-02 14:17:38,e45f010a7b55,rasp0,-55.7,-53,5.83180932472933,45
rssi,2024-04-02 14:18:27,e45f010a7b55,rasp0,-57,-57,0,1
rssi,2024-04-02 14:18:28,e45f010a7b55,rasp0,-57.5,-58,0.5,3
rssi,2024-04-02 14:18:29,e45f010a7b55,rasp0,-56.3333333333333,-54,1.69967317119759,4
rssi,2024-04-02 14:18:29,e45f010a7b55,rasp0,-56.5,-57,1.5,5
rssi,2024-04-02 14:18:30,e45f010a7b55,rasp0,-56.6,-57,1.35646599662505,6
rssi,2024-04-02 14:18:30,e45f010a7b55,rasp0,-56,-53,1.82574185835055,7
rssi,2024-04-02 14:18:31,e45f010a7b55,rasp0,-55.7142857142857,-54,1.82946406783796,9
rssi,2024-04-02 14:18:34,e45f010a7b55,rasp0,-55.375,-53,1.93245310421754,14
rssi,2024-04-02 14:18:34,e45f010a7b55,rasp0,-54.8888888888889,-51,2.28251539824157,15
rssi,2024-04-02 14:18:35,e45f010a7b55,rasp0,-54.4,-50,2.6153393661244,16
rssi,2024-04-02 14:18:35,e45f010a7b55,rasp0,-53.6,-49,2.90516780926679,17
rssi,2024-04-02 14:18:36,e45f010a7b55,rasp0,-52.8,-50,2.67581763205193,18
rssi,2024-04-02 14:18:36,e45f010a7b55,rasp0,-51.8,-44,3.70944739819828,19
rssi,2024-04-02 14:18:37,e45f010a7b55,rasp0,-50.7,-46,3.63455636907725,20
rssi,2024-04-02 14:18:38,e45f010a7b55,rasp0,-49,-40,4.2190046219458,22
rssi,2024-04-02 14:18:38,e45f010a7b55,rasp0,-48,-43,4.33589667773576,23
rssi,2024-04-02 14:18:41,e45f010a7b55,rasp0,-47.3,-47,3.84837628097877,29
rssi,2024-04-02 14:18:42,e45f010a7b55,rasp0,-48.6,-66,6.69626761711328,30
rssi,2024-04-02 14:18:42,e45f010a7b55,rasp0,-50,-65,8.31865373723417,31
rssi,2024-04-02 14:18:43,e45f010a7b55,rasp0,-51.6,-66,9.60416576283437,32
rssi,2024-04-02 14:18:43,e45f010a7b55,rasp0,-53.1,-64,10.2318131335556,33
rssi,2024-04-02 14:18:44,e45f010a7b55,rasp0,-55,-69,11.1982141433355,34
rssi,2024-04-02 14:18:44,e45f010a7b55,rasp0,-55.6,-50,10.7443008148506,35
rssi,2024-04-02 14:18:45,e45f010a7b55,rasp0,-56.2,-52,10.351811435686,36
rssi,2024-04-02 14:18:45,e45f010a7b55,rasp0,-58.2,-60,8.85211839053229,37
rssi,2024-04-02 14:18:46,e45f010a7b55,rasp0,-59.5,-56,7.35187051028512,38
rssi,2024-04-02 14:18:46,e45f010a7b55,rasp0,-60.6,-58,6.11882341631134,39
rssi,2024-04-02 14:18:47,e45f010a7b55,rasp0,-60.1,-61,5.85576638878294,40
rssi,2024-04-02 14:18:48,e45f010a7b55,rasp0,-59.4,-58,5.64269439186635,43
rssi,2024-04-02 14:18:49,e45f010a7b55,rasp0,-58.7,-59,5.19711458407451,44
