time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:10:46,53.35556,-6.280358,78,0,0.425
2024-04-02 14:10:47,53.35556,-6.280358,78,0,0.425
2024-04-02 14:10:48,53.35556,-6.280358,78,0,0.425
2024-04-02 14:10:49,53.35556,-6.280358,78,0,0.425
2024-04-02 14:10:50,53.355563,-6.280353,79,1.6,0.426
2024-04-02 14:10:51,53.355574,-6.280348,79,4.7,0.427
2024-04-02 14:10:52,53.355584,-6.280351,79,3.8,0.428
2024-04-02 14:10:53,53.355588,-6.280348,79,1.8,0.429
2024-04-02 14:10:54,53.355599,-6.280339,79,4.7,0.43
2024-04-02 14:10:55,53.355606,-6.280335,79,3.1,0.431
2024-04-02 14:10:56,53.355611,-6.280334,80,2,0.431
2024-04-02 14:10:57,53.355621,-6.280331,80,4.2,0.432
2024-04-02 14:10:58,53.355633,-6.280323,80,5.1,0.434
2024-04-02 14:10:59,53.355643,-6.280314,80,4.7,0.435
2024-04-02 14:11:00,53.355654,-6.280305,80,4.8,0.436
2024-04-02 14:11:01,53.35566,-6.280301,80,2.6,0.437
2024-04-02 14:11:02,53.355665,-6.280301,79,2,0.438
2024-04-02 14:11:03,53.355672,-6.280304,79,3.1,0.439
2024-04-02 14:11:04,53.35568,-6.280304,79,2.9,0.439
2024-04-02 14:11:05,53.355688,-6.280302,79,3.5,0.44
2024-04-02 14:11:06,53.355699,-6.280295,78,4.8,0.442
2024-04-02 14:11:07,53.355706,-6.28029,78,2.8,0.442
2024-04-02 14:11:08,53.355708,-6.280293,78,1.4,0.443
2024-04-02 14:12:16,53.355587,-6.280351,77,0,0.463
2024-04-02 14:12:17,53.355587,-6.280351,77,0,0.463
2024-04-02 14:12:18,53.355587,-6.280351,77,0,0.463
2024-04-02 14:12:19,53.355587,-6.280351,77,0,0.463
2024-04-02 14:12:20,53.35559,-6.280339,78,3,0.464
2024-04-02 14:12:21,53.355592,-6.280332,78,2.1,0.464
2024-04-02 14:12:22,53.355598,-6.280327,79,2.4,0.465
2024-04-02 14:12:23,53.355603,-6.280325,79,2.2,0.466
2024-04-02 14:12:24,53.355607,-6.280325,79,1.7,0.466
2024-04-02 14:12:25,53.355614,-6.280327,79,2.7,0.467
2024-04-02 14:12:26,53.355617,-6.280321,79,2,0.468
2024-04-02 14:12:27,53.355625,-6.280314,80,3.6,0.469
2024-04-02 14:12:28,53.355633,-6.280313,81,3.4,0.469
2024-04-02 14:12:29,53.355642,-6.280318,82,3.5,0.47
2024-04-02 14:12:30,53.355654,-6.280312,82,5,0.472
2024-04-02 14:12:31,53.355663,-6.280307,82,4.1,0.473
2024-04-02 14:12:32,53.355674,-6.2803,81,4.6,0.474
2024-04-02 14:12:33,53.355684,-6.280292,82,4.5,0.475
2024-04-02 14:12:34,53.355696,-6.280288,82,4.7,0.477
2024-04-02 14:12:35,53.355704,-6.280291,82,3.1,0.478
2024-04-02 14:12:36,53.355712,-6.280288,81,3.5,0.479
2024-04-02 14:12:37,53.355723,-6.28028,82,4.8,0.48
2024-04-02 14:12:38,53.35573,-6.280277,82,2.7,0.481
2024-04-02 14:12:39,53.355734,-6.280275,82,1.9,0.481
2024-04-02 14:12:40,53.355731,-6.280282,82,2.1,0.482
2024-04-02 14:13:40,53.355588,-6.280352,81,0,0.504
2024-04-02 14:13:41,53.355588,-6.280352,81,0,0.504
2024-04-02 14:13:42,53.355588,-6.280352,81,0,0.504
2024-04-02 14:13:43,53.355582,-6.280346,81,2.9,0.505
2024-04-02 14:13:44,53.355583,-6.280347,82,0.5,0.505
2024-04-02 14:13:45,53.355591,-6.280351,82,3.4,0.506
2024-04-02 14:13:46,53.355598,-6.280354,82,3,0.507
2024-04-02 14:13:47,53.355603,-6.280348,81,2.1,0.507
2024-04-02 14:13:48,53.355609,-6.280343,82,2.8,0.508
2024-04-02 14:13:49,53.355617,-6.28034,82,3.3,0.509
2024-04-02 14:13:50,53.355622,-6.280334,82,2.5,0.51
2024-04-02 14:13:51,53.355633,-6.280329,81,4.5,0.511
2024-04-02 14:13:52,53.355642,-6.280324,82,3.7,0.512
2024-04-02 14:13:53,53.355653,-6.280316,82,5,0.513
2024-04-02 14:13:54,53.355663,-6.280307,82,4.5,0.514
2024-04-02 14:13:55,53.355672,-6.280303,82,3.7,0.515
2024-04-02 14:13:56,53.35568,-6.2803,82,3.3,0.516
2024-04-02 14:13:57,53.355688,-6.2803,82,3.3,0.517
2024-04-02 14:13:58,53.355699,-6.280295,82,4.4,0.518
2024-04-02 14:13:59,53.355712,-6.280284,81,5.7,0.52
2024-04-02 14:14:00,53.355723,-6.280277,81,4.7,0.521
2024-04-02 14:14:01,53.355732,-6.280276,81,3.8,0.522
2024-04-02 14:14:02,53.355737,-6.280278,81,1.9,0.523
