time_,Latitude_,Longitude_,Altitude_m__,Speed_km_h__,TotalDistance_km_
2024-04-02 14:11:29,53.355707,-6.280292,78,0,0.444
2024-04-02 14:11:30,53.355707,-6.280292,78,0,0.444
2024-04-02 14:11:31,53.355707,-6.280292,78,0,0.444
2024-04-02 14:11:32,53.35571,-6.28028,78,3.3,0.444
2024-04-02 14:11:33,53.355708,-6.280282,78,1.2,0.445
2024-04-02 14:11:34,53.355701,-6.280287,78,2.7,0.446
2024-04-02 14:11:35,53.355697,-6.28029,78,2.1,0.446
2024-04-02 14:11:36,53.35569,-6.280296,78,3,0.447
2024-04-02 14:11:37,53.355682,-6.280301,78,3.4,0.448
2024-04-02 14:11:38,53.355673,-6.280298,77,3.6,0.449
2024-04-02 14:11:39,53.355666,-6.280299,77,3.1,0.45
2024-04-02 14:11:40,53.355658,-6.280296,77,3.1,0.451
2024-04-02 14:11:41,53.355652,-6.280292,77,2.4,0.451
2024-04-02 14:11:42,53.355646,-6.280303,77,3.6,0.452
2024-04-02 14:11:43,53.355639,-6.280313,77,3.7,0.453
2024-04-02 14:11:44,53.355629,-6.280317,77,4.2,0.455
2024-04-02 14:11:45,53.355622,-6.280318,77,2.9,0.455
2024-04-02 14:11:46,53.355617,-6.280328,78,2.9,0.456
2024-04-02 14:11:47,53.355611,-6.280337,77,3.3,0.457
2024-04-02 14:11:48,53.3556,-6.28034,77,4.6,0.458
2024-04-02 14:11:49,53.35559,-6.28035,77,4.3,0.46
2024-04-02 14:11:50,53.355576,-6.280352,77,5.6,0.461
2024-04-02 14:11:51,53.355576,-6.280357,76,1.2,0.461
2024-04-02 14:13:02,53.35573,-6.28029,82,0,0.483
2024-04-02 14:13:03,53.35573,-6.28029,82,0,0.483
2024-04-02 14:13:04,53.35573,-6.28029,82,0,0.483
2024-04-02 14:13:05,53.35573,-6.28029,82,0,0.483
2024-04-02 14:13:06,53.35573,-6.28029,82,0,0.483
2024-04-02 14:13:07,53.35573,-6.28029,82,0,0.483
2024-04-02 14:13:08,53.355727,-6.280291,82,1,0.483
2024-04-02 14:13:09,53.35572,-6.280299,81,3.3,0.484
2024-04-02 14:13:10,53.355709,-6.2803,81,4.5,0.485
2024-04-02 14:13:11,53.355702,-6.2803,81,2.6,0.486
2024-04-02 14:13:12,53.355697,-6.280299,80,2.1,0.487
2024-04-02 14:13:13,53.355692,-6.280307,80,2.9,0.488
2024-04-02 14:13:14,53.355681,-6.280311,80,4.3,0.489
2024-04-02 14:13:15,53.35567,-6.280308,80,4.7,0.49
2024-04-02 14:13:16,53.35566,-6.280308,80,4,0.491
2024-04-02 14:13:17,53.355647,-6.2803,80,5.3,0.493
2024-04-02 14:13:18,53.35564,-6.280309,79,3.4,0.494
2024-04-02 14:13:19,53.355636,-6.280316,79,2.6,0.494
2024-04-02 14:13:20,53.355632,-6.280329,79,3.5,0.495
2024-04-02 14:13:21,53.35562,-6.280335,79,4.8,0.497
2024-04-02 14:13:22,53.355607,-6.280344,79,5.6,0.498
2024-04-02 14:13:23,53.355598,-6.280351,79,4.1,0.499
2024-04-02 14:13:24,53.355592,-6.280352,80,2.4,0.5
2024-04-02 14:13:25,53.355589,-6.280355,80,1.7,0.5
2024-04-02 14:13:26,53.355587,-6.280359,79,1,0.501
2024-04-02 14:13:27,53.355599,-6.280355,80,4.7,0.502
2024-04-02 14:14:16,53.355745,-6.280258,83,0,0.525
2024-04-02 14:14:17,53.355745,-6.280258,83,0,0.525
2024-04-02 14:14:18,53.355745,-6.280258,83,0,0.525
2024-04-02 14:14:19,53.355745,-6.280258,83,0,0.525
2024-04-02 14:14:20,53.355736,-6.28027,82,4.6,0.526
2024-04-02 14:14:21,53.355722,-6.280273,82,5.7,0.527
2024-04-02 14:14:22,53.355711,-6.280275,82,4.3,0.529
2024-04-02 14:14:23,53.355698,-6.280277,82,5.3,0.53
2024-04-02 14:14:24,53.355686,-6.280283,82,5,0.532
2024-04-02 14:14:25,53.355678,-6.280287,82,3.3,0.532
2024-04-02 14:14:26,53.35567,-6.280292,82,3.3,0.533
2024-04-02 14:14:27,53.355662,-6.280291,81,3.5,0.534
2024-04-02 14:14:28,53.355652,-6.280293,81,3.7,0.535
2024-04-02 14:14:29,53.355641,-6.280296,81,4.5,0.537
2024-04-02 14:14:30,53.355629,-6.280299,81,4.9,0.538
2024-04-02 14:14:31,53.355621,-6.280299,81,3.4,0.539
2024-04-02 14:14:32,53.355614,-6.280299,81,2.8,0.54
2024-04-02 14:14:33,53.355609,-6.280299,80,1.6,0.54
2024-04-02 14:14:34,53.355602,-6.280303,80,3.1,0.541
2024-04-02 14:14:35,53.355598,-6.280313,79,3.1,0.542
2024-04-02 14:14:36,53.355587,-6.280322,80,4.7,0.543
2024-04-02 14:14:37,53.355578,-6.280328,80,4.1,0.544
2024-04-02 14:14:38,53.355576,-6.280322,80,1.7,0.545
