name,time,addr,device,mean,rssi,sd
rssi,1675257843848897000,d74adea29cf7,rasp0,-42,-42,0
rssi,1675257844453089000,d74adea29cf7,rasp0,-41,-40,1
rssi,1675257844765404000,d74adea29cf7,rasp0,-40,-38,1.632993161855452
rssi,1675257846324620000,d74adea29cf7,rasp0,-40,-40,1.4142135623730951
rssi,1675257847231708000,d74adea29cf7,rasp0,-39.6,-38,1.4966629547095764
rssi,1675257847739622000,d74adea29cf7,rasp0,-39.833333333333336,-41,1.4624940645653537
rssi,1675257848245436000,d74adea29cf7,rasp0,-39.57142857142857,-38,1.4982983545287878
rssi,1675257848787313000,d74adea29cf7,rasp0,-39.625,-40,1.4086784586980805
rssi,1675257849763530000,d74adea29cf7,rasp0,-39.333333333333336,-37,1.5634719199411433
rssi,1675257851225185000,d74adea29cf7,rasp0,-38.9,-35,1.972308292331602
rssi,1675257852296190000,d74adea29cf7,rasp0,-38.2,-35,1.9899748742132397
rssi,1675257852744516000,d74adea29cf7,rasp0,-37.7,-35,2.0999999999999996
rssi,1675257853246772000,d74adea29cf7,rasp0,-37.7,-38,2.0999999999999996
rssi,1675257854758555000,d74adea29cf7,rasp0,-37.3,-36,2.0024984394500787
rssi,1675257855428926000,d74adea29cf7,rasp0,-37.3,-38,2.0024984394500787
rssi,1675257855932415000,d74adea29cf7,rasp0,-36.7,-35,1.676305461424021
rssi,1675257856757388000,d74adea29cf7,rasp0,-36.5,-36,1.6278820596099706
rssi,1675257858480636000,d74adea29cf7,rasp0,-36.3,-38,1.268857754044952
rssi,1675257858753377000,d74adea29cf7,rasp0,-36.5,-39,1.5
rssi,1675257859767045000,d74adea29cf7,rasp0,-37,-40,1.7320508075688772
rssi,1675257860289479000,d74adea29cf7,rasp0,-37.1,-36,1.6401219466856727
rssi,1675257860772564000,d74adea29cf7,rasp0,-37.4,-38,1.4966629547095767
rssi,1675257861219587000,d74adea29cf7,rasp0,-37.6,-40,1.685229954635272
rssi,1675257862226179000,d74adea29cf7,rasp0,-37.6,-36,1.685229954635272
rssi,1675257863230554000,d74adea29cf7,rasp0,-37.6,-38,1.685229954635272
rssi,1675257863735528000,d74adea29cf7,rasp0,-38.1,-40,1.5779733838059502
rssi,1675257864238220000,d74adea29cf7,rasp0,-38.1,-36,1.5779733838059502
rssi,1675257864746199000,d74adea29cf7,rasp0,-38.1,-38,1.5779733838059502
rssi,1675257865252603000,d74adea29cf7,rasp0,-37.8,-36,1.661324772583615
rssi,1675257865758062000,d74adea29cf7,rasp0,-37.6,-38,1.4966629547095767
rssi,1675257866218236000,d74adea29cf7,rasp0,-37.6,-36,1.4966629547095767
rssi,1675257866949138000,d74adea29cf7,rasp0,-37.9,-41,1.8138357147217055
rssi,1675257867217773000,d74adea29cf7,rasp0,-37.9,-40,1.8138357147217055
rssi,1675257867722187000,d74adea29cf7,rasp0,-38.1,-38,1.7
rssi,1675257868297646000,d74adea29cf7,rasp0,-38.1,-38,1.7
rssi,1675257868725423000,d74adea29cf7,rasp0,-38.1,-40,1.7
rssi,1675257869288968000,d74adea29cf7,rasp0,-38,-35,1.8439088914585775
rssi,1675257869732994000,d74adea29cf7,rasp0,-37.7,-35,2.051828452868319
rssi,1675257870239660000,d74adea29cf7,rasp0,-37.9,-38,1.9723082923316018
rssi,1675257870755111000,d74adea29cf7,rasp0,-38.1,-40,2.071231517720798
rssi,1675257871724890000,d74adea29cf7,rasp0,-38.3,-38,1.9519221295943134
rssi,1675257872228949000,d74adea29cf7,rasp0,-38.2,-40,1.8330302779823362
rssi,1675257873750456000,d74adea29cf7,rasp0,-38.2,-40,1.8330302779823358
rssi,1675257874250112000,d74adea29cf7,rasp0,-38.1,-37,1.8681541692269403
rssi,1675257874775225000,d74adea29cf7,rasp0,-38.1,-38,1.8681541692269403
rssi,1675257875273498000,d74adea29cf7,rasp0,-37.9,-38,1.7578395831246947
rssi,1675257875760551000,d74adea29cf7,rasp0,-37.9,-35,1.7578395831246947
rssi,1675257876222377000,d74adea29cf7,rasp0,-37.9,-35,1.7578395831246945
rssi,1675257876723414000,d74adea29cf7,rasp0,-37.9,-38,1.7578395831246947
