name,time,addr,device,mean,rssi,sd
rssi,1675253419854297000,d74adea29cf7,rasp0,-59,-59,0
rssi,1675253420352470000,d74adea29cf7,rasp0,-62,-65,3
rssi,1675253422008893000,d74adea29cf7,rasp0,-61.666666666666664,-61,2.494438257849294
rssi,1675253422842419000,d74adea29cf7,rasp0,-61,-59,2.449489742783178
rssi,1675253423405451000,d74adea29cf7,rasp0,-61.2,-62,2.227105745132009
rssi,1675253423845023000,d74adea29cf7,rasp0,-61.833333333333336,-65,2.4776781245530843
rssi,1675253425366819000,d74adea29cf7,rasp0,-61.714285714285715,-61,2.3123448651769496
rssi,1675253425982000000,d74adea29cf7,rasp0,-61.5,-60,2.23606797749979
rssi,1675253427331818000,d74adea29cf7,rasp0,-62.111111111111114,-67,2.7261875880856214
rssi,1675253427837466000,d74adea29cf7,rasp0,-62.1,-62,2.5865034312755126
rssi,1675253428344215000,d74adea29cf7,rasp0,-62.3,-61,2.4103941586387903
rssi,1675253429353217000,d74adea29cf7,rasp0,-62.2,-64,2.315167380558045
rssi,1675253429859819000,d74adea29cf7,rasp0,-62.2,-61,2.315167380558045
rssi,1675253430368243000,d74adea29cf7,rasp0,-62.8,-65,2.181742422927143
rssi,1675253430869276000,d74adea29cf7,rasp0,-63.5,-69,2.8372521918222215
rssi,1675253431863895000,d74adea29cf7,rasp0,-63.2,-62,2.821347195933177
rssi,1675253432323225000,d74adea29cf7,rasp0,-63.2,-61,2.8213471959331766
rssi,1675253433009822000,d74adea29cf7,rasp0,-63.3,-61,2.72213151776324
rssi,1675253433333895000,d74adea29cf7,rasp0,-62.3,-57,3.0016662039607267
rssi,1675253434341979000,d74adea29cf7,rasp0,-61.7,-56,3.5510561809129406
rssi,1675253436319990000,d74adea29cf7,rasp0,-61.5,-59,3.640054944640259
rssi,1675253437834859000,d74adea29cf7,rasp0,-61.9,-68,4.085339643163099
rssi,1675253438845536000,d74adea29cf7,rasp0,-61.7,-59,4.172529209005013
rssi,1675253439352439000,d74adea29cf7,rasp0,-61.1,-59,4.085339643163099
rssi,1675253440355606000,d74adea29cf7,rasp0,-60,-58,3.1937438845342623
rssi,1675253441829233000,d74adea29cf7,rasp0,-61.7,-79,6.558200972827838
rssi,1675253442839906000,d74adea29cf7,rasp0,-61.5,-59,6.606814663663572
rssi,1675253443349226000,d74adea29cf7,rasp0,-61.2,-58,6.690291473471093
rssi,1675253444359302000,d74adea29cf7,rasp0,-61.3,-58,6.634003316248793
rssi,1675253444866714000,d74adea29cf7,rasp0,-61.5,-58,6.5
rssi,1675253445879700000,d74adea29cf7,rasp0,-61.4,-58,6.545227268781429
rssi,1675253447333480000,d74adea29cf7,rasp0,-60.5,-59,6.18465843842649
rssi,1675253447835596000,d74adea29cf7,rasp0,-60.6,-60,6.16765757804371
rssi,1675253448850033000,d74adea29cf7,rasp0,-60.5,-58,6.2008063991709985
rssi,1675253450874235000,d74adea29cf7,rasp0,-60.5,-58,6.2008063991709985
rssi,1675253451320160000,d74adea29cf7,rasp0,-59.1,-65,2.071231517720798
rssi,1675253452426912000,d74adea29cf7,rasp0,-59.7,-65,2.72213151776324
rssi,1675253453353377000,d74adea29cf7,rasp0,-59.7,-58,2.72213151776324
rssi,1675253453856869000,d74adea29cf7,rasp0,-60.5,-66,3.2326459750489227
rssi,1675253454362619000,d74adea29cf7,rasp0,-60.7,-60,3.132091952673165
rssi,1675253454867295000,d74adea29cf7,rasp0,-60.7,-58,3.132091952673165
rssi,1675253455374223000,d74adea29cf7,rasp0,-61.5,-67,3.5846896657869842
rssi,1675253456554133000,d74adea29cf7,rasp0,-61.2,-57,3.8157568056677826
rssi,1675253456825838000,d74adea29cf7,rasp0,-61.7,-63,3.689173349139344
rssi,1675253457329111000,d74adea29cf7,rasp0,-62.3,-64,3.5227829907617076
rssi,1675253457873066000,d74adea29cf7,rasp0,-62.5,-67,3.721558813185679
rssi,1675253458336538000,d74adea29cf7,rasp0,-62.6,-66,3.8000000000000003
rssi,1675253458839272000,d74adea29cf7,rasp0,-62.6,-58,3.8000000000000003
rssi,1675253459340514000,d74adea29cf7,rasp0,-61.7,-57,3.9509492530276824
rssi,1675253459840215000,d74adea29cf7,rasp0,-61.5,-58,4.080441152620633
rssi,1675253461317404000,d74adea29cf7,rasp0,-63,-73,5.138093031466052
rssi,1675253462330223000,d74adea29cf7,rasp0,-63.8,-75,6.209669878504009
rssi,1675253462832085000,d74adea29cf7,rasp0,-65.7,-76,6.723838189605696
rssi,1675253464852950000,d74adea29cf7,rasp0,-65.6,-62,6.770524351924304
rssi,1675253465352172000,d74adea29cf7,rasp0,-65.4,-62,6.84397545290747
rssi,1675253465871918000,d74adea29cf7,rasp0,-65.3,-66,6.827151675479314
rssi,1675253466415288000,d74adea29cf7,rasp0,-64.4,-57,7.255342858886822
rssi,1675253466827734000,d74adea29cf7,rasp0,-65.1,-65,6.9346953790343235
rssi,1675253467838865000,d74adea29cf7,rasp0,-65.3,-59,6.723838189605695
rssi,1675253469347338000,d74adea29cf7,rasp0,-66.5,-70,6.375735251718032
rssi,1675253471319164000,d74adea29cf7,rasp0,-66.9,-77,6.876772498781678
rssi,1675253472331556000,d74adea29cf7,rasp0,-66.2,-68,6.352952069707436
rssi,1675253472834951000,d74adea29cf7,rasp0,-65.3,-67,5.478138369920935
rssi,1675253476322818000,d74adea29cf7,rasp0,-64.9,-58,5.838664230797999
rssi,1675253476827951000,d74adea29cf7,rasp0,-64.6,-59,6.053098380168622
rssi,1675253477336209000,d74adea29cf7,rasp0,-64.1,-61,6.122907805936653
rssi,1675253477838620000,d74adea29cf7,rasp0,-64.6,-62,5.71314274283428
rssi,1675253479356940000,d74adea29cf7,rasp0,-64,-59,5.9497899122574065
rssi,1675253480875448000,d74adea29cf7,rasp0,-65.5,-74,6.375735251718032
