name,time,addr,device,mean,rssi,sd
rssi,1676035440659364000,d74adea29cf7,rasp0,-45,-45,0
rssi,1676035441127877000,d74adea29cf7,rasp0,-42.5,-40,2.5
rssi,1676035442084923000,d74adea29cf7,rasp0,-42,-41,2.160246899469287
rssi,1676035442646407000,d74adea29cf7,rasp0,-42,-42,1.8708286933869707
rssi,1676035443096282000,d74adea29cf7,rasp0,-41.8,-41,1.7204650534085253
rssi,1676035445620623000,d74adea29cf7,rasp0,-42.166666666666664,-44,1.7716909687891083
rssi,1676035446125654000,d74adea29cf7,rasp0,-41.857142857142854,-40,1.8070158058105024
rssi,1676035446586681000,d74adea29cf7,rasp0,-41.625,-40,1.79843682124227
rssi,1676035447093882000,d74adea29cf7,rasp0,-41.44444444444444,-40,1.7708197167232473
rssi,1676035447603568000,d74adea29cf7,rasp0,-41.4,-41,1.685229954635272
rssi,1676035448110806000,d74adea29cf7,rasp0,-41.1,-42,1.2206555615733703
rssi,1676035448613479000,d74adea29cf7,rasp0,-41.3,-42,1.1874342087037917
rssi,1676035449113329000,d74adea29cf7,rasp0,-41.5,-43,1.284523257866513
rssi,1676035449737784000,d74adea29cf7,rasp0,-41.5,-42,1.284523257866513
rssi,1676035450125955000,d74adea29cf7,rasp0,-41.7,-43,1.3453624047073711
rssi,1676035450628208000,d74adea29cf7,rasp0,-41.4,-41,1.1135528725660042
rssi,1676035451136456000,d74adea29cf7,rasp0,-41.6,-42,1.0198039027185568
rssi,1676035451587295000,d74adea29cf7,rasp0,-41.8,-42,0.8717797887081347
rssi,1676035453116178000,d74adea29cf7,rasp0,-42.5,-47,1.6278820596099706
rssi,1676035453622585000,d74adea29cf7,rasp0,-42.5,-41,1.6278820596099706
rssi,1676035454123582000,d74adea29cf7,rasp0,-42.4,-41,1.685229954635272
rssi,1676035454626862000,d74adea29cf7,rasp0,-42.4,-42,1.685229954635272
rssi,1676035455133276000,d74adea29cf7,rasp0,-42.2,-41,1.7204650534085255
rssi,1676035455635671000,d74adea29cf7,rasp0,-42.4,-44,1.8000000000000003
