name,time,addr,device,mean,rssi,sd
rssi,1680619252585897000,d74adea29cf7,rasp0,-58,-58,0
rssi,1680619253094726000,d74adea29cf7,rasp0,-57,-56,1
rssi,1680619253596050000,d74adea29cf7,rasp0,-57.333333333333336,-58,0.9428090415820634
rssi,1680619254598491000,d74adea29cf7,rasp0,-57.5,-58,0.8660254037844386
rssi,1680619255105205000,d74adea29cf7,rasp0,-57.4,-57,0.7999999999999999
rssi,1680619255605982000,d74adea29cf7,rasp0,-57.166666666666664,-56,0.8975274678557507
rssi,1680619256113053000,d74adea29cf7,rasp0,-57.142857142857146,-57,0.8329931278350429
rssi,1680619256617200000,d74adea29cf7,rasp0,-57.25,-58,0.82915619758885
rssi,1680619257590396000,d74adea29cf7,rasp0,-57.22222222222222,-57,0.7856742013183861
rssi,1680619258095601000,d74adea29cf7,rasp0,-57.2,-57,0.7483314773547882
rssi,1680619258602813000,d74adea29cf7,rasp0,-57,-56,0.7745966692414834
rssi,1680619259110236000,d74adea29cf7,rasp0,-57.2,-58,0.7483314773547882
rssi,1680619259614252000,d74adea29cf7,rasp0,-57.2,-58,0.7483314773547882
rssi,1680619260115402000,d74adea29cf7,rasp0,-57.3,-59,0.9
rssi,1680619260621443000,d74adea29cf7,rasp0,-57.4,-58,0.9165151389911679
rssi,1680619261125966000,d74adea29cf7,rasp0,-57.5,-57,0.806225774829855
rssi,1680619261632419000,d74adea29cf7,rasp0,-57.6,-58,0.8
rssi,1680619262135407000,d74adea29cf7,rasp0,-57.6,-58,0.8
rssi,1680619262585136000,d74adea29cf7,rasp0,-57.6,-57,0.8
rssi,1680619263596622000,d74adea29cf7,rasp0,-57.5,-56,0.9219544457292888
rssi,1680619264099756000,d74adea29cf7,rasp0,-57.5,-56,0.9219544457292888
rssi,1680619264608608000,d74adea29cf7,rasp0,-57.3,-56,1.004987562112089
rssi,1680619265111535000,d74adea29cf7,rasp0,-57.4,-59,1.1135528725660042
rssi,1680619265621025000,d74adea29cf7,rasp0,-57.2,-57,0.9797958971132712
rssi,1680619266123854000,d74adea29cf7,rasp0,-57.2,-58,0.9797958971132711
rssi,1680619266628447000,d74adea29cf7,rasp0,-57.1,-56,1.0440306508910548
rssi,1680619267135610000,d74adea29cf7,rasp0,-56.9,-56,1.0440306508910548
rssi,1680619268084530000,d74adea29cf7,rasp0,-57,-59,1.1832159566199232
rssi,1680619268591545000,d74adea29cf7,rasp0,-57.2,-59,1.3266499161421599
rssi,1680619269096550000,d74adea29cf7,rasp0,-57.3,-57,1.268857754044952
rssi,1680619269598064000,d74adea29cf7,rasp0,-57.4,-57,1.2
rssi,1680619270104549000,d74adea29cf7,rasp0,-57.5,-57,1.118033988749895
rssi,1680619270604641000,d74adea29cf7,rasp0,-57.2,-56,1.0770329614269007
rssi,1680619271107866000,d74adea29cf7,rasp0,-57.3,-58,1.0999999999999999
rssi,1680619272115303000,d74adea29cf7,rasp0,-57.4,-59,1.2
rssi,1680619272583545000,d74adea29cf7,rasp0,-57.4,-56,1.2
rssi,1680619273086418000,d74adea29cf7,rasp0,-57.6,-58,1.1135528725660042
rssi,1680619273592909000,d74adea29cf7,rasp0,-57.4,-57,1.0198039027185568
rssi,1680619274093069000,d74adea29cf7,rasp0,-57.3,-58,0.9
rssi,1680619274602682000,d74adea29cf7,rasp0,-57.3,-57,0.9
rssi,1680619275109262000,d74adea29cf7,rasp0,-57.4,-58,0.9165151389911679
rssi,1680619275616201000,d74adea29cf7,rasp0,-57.4,-57,0.9165151389911679
rssi,1680619276124427000,d74adea29cf7,rasp0,-57.4,-56,0.9165151389911681
rssi,1680619276624711000,d74adea29cf7,rasp0,-57.2,-56,0.9797958971132712
rssi,1680619277579144000,d74adea29cf7,rasp0,-57.1,-58,0.8306623862918073
rssi,1680619278079357000,d74adea29cf7,rasp0,-57.3,-58,0.7810249675906654
rssi,1680619278588501000,d74adea29cf7,rasp0,-57.3,-58,0.7810249675906654
rssi,1680619279093594000,d74adea29cf7,rasp0,-57.2,-56,0.8717797887081347
rssi,1680619279596613000,d74adea29cf7,rasp0,-57.1,-57,0.8306623862918074
rssi,1680619280095353000,d74adea29cf7,rasp0,-57.2,-58,0.8717797887081347
rssi,1680619280598527000,d74adea29cf7,rasp0,-57.2,-58,0.8717797887081347
rssi,1680619281101374000,d74adea29cf7,rasp0,-57.3,-58,0.9
rssi,1680619281609039000,d74adea29cf7,rasp0,-57.3,-56,0.9
rssi,1680619282111452000,d74adea29cf7,rasp0,-57.5,-58,0.806225774829855
rssi,1680619283087488000,d74adea29cf7,rasp0,-57.5,-58,0.806225774829855
rssi,1680619283595907000,d74adea29cf7,rasp0,-57.5,-58,0.806225774829855
rssi,1680619284098354000,d74adea29cf7,rasp0,-57.5,-58,0.806225774829855
rssi,1680619284602858000,d74adea29cf7,rasp0,-57.7,-58,0.6403124237432849
rssi,1680619285111437000,d74adea29cf7,rasp0,-57.8,-58,0.6
rssi,1680619285618393000,d74adea29cf7,rasp0,-57.7,-57,0.6403124237432849
rssi,1680619286122636000,d74adea29cf7,rasp0,-57.8,-59,0.7483314773547882
rssi,1680619287582490000,d74adea29cf7,rasp0,-57.6,-56,0.9165151389911679
rssi,1680619288085294000,d74adea29cf7,rasp0,-57.7,-57,0.7810249675906654
rssi,1680619288590996000,d74adea29cf7,rasp0,-57.5,-56,0.9219544457292888
rssi,1680619289092901000,d74adea29cf7,rasp0,-57.5,-58,0.9219544457292888
rssi,1680619290110056000,d74adea29cf7,rasp0,-57.3,-56,1.004987562112089
rssi,1680619290616359000,d74adea29cf7,rasp0,-57.3,-58,1.004987562112089
rssi,1680619291127382000,d74adea29cf7,rasp0,-57.3,-58,1.004987562112089
rssi,1680619291634259000,d74adea29cf7,rasp0,-57.3,-58,1.004987562112089
rssi,1680619292578917000,d74adea29cf7,rasp0,-57.4,-58,1.0198039027185568
rssi,1680619293581475000,d74adea29cf7,rasp0,-57.3,-58,0.9
rssi,1680619294085395000,d74adea29cf7,rasp0,-57.3,-56,0.9
rssi,1680619294586926000,d74adea29cf7,rasp0,-57.3,-57,0.9
rssi,1680619295092945000,d74adea29cf7,rasp0,-57.6,-59,0.9165151389911681
rssi,1680619295597546000,d74adea29cf7,rasp0,-57.6,-58,0.9165151389911679
rssi,1680619296101219000,d74adea29cf7,rasp0,-57.8,-58,0.7483314773547881
rssi,1680619296607337000,d74adea29cf7,rasp0,-57.8,-58,0.7483314773547881
rssi,1680619297114499000,d74adea29cf7,rasp0,-57.8,-58,0.7483314773547882
rssi,1680619298086831000,d74adea29cf7,rasp0,-57.7,-57,0.7810249675906654
rssi,1680619298593613000,d74adea29cf7,rasp0,-57.7,-58,0.7810249675906653
rssi,1680619299103091000,d74adea29cf7,rasp0,-57.7,-58,0.7810249675906653
rssi,1680619299607025000,d74adea29cf7,rasp0,-58,-59,0.6324555320336759
