name,time,location
buttons,1685015403778000000,start
buttons,1685015409285000000,approach
buttons,1685015413995000000,centre
buttons,1685015419112000000,depart
buttons,1685015424051000000,end
buttons,1685015432324000000,end
buttons,1685015437695000000,depart
buttons,1685015442501000000,centre
buttons,1685015447669000000,approach
buttons,1685015453001000000,start
buttons,1685015530463000000,start
buttons,1685015535535000000,approach
buttons,1685015540600000000,centre
buttons,1685015546298000000,depart
buttons,1685015551405000000,end
buttons,1685015557888000000,end
buttons,1685015562530000000,depart
buttons,1685015567864000000,centre
buttons,1685015572712000000,approach
buttons,1685015577838000000,start
buttons,1685015584828000000,start
buttons,1685015589480000000,approach
buttons,1685015594509000000,centre
buttons,1685015599629000000,depart
buttons,1685015604836000000,end
buttons,1685015615249000000,end
buttons,1685015619527000000,depart
buttons,1685015624579000000,centre
buttons,1685015629365000000,approach
buttons,1685015634407000000,start
buttons,1685015639277000000,start
buttons,1685015644670000000,approach
buttons,1685015649240000000,centre
buttons,1685015653867000000,depart
buttons,1685015658466000000,end
buttons,1685015665624000000,end
buttons,1685015670459000000,depart
buttons,1685015675293000000,centre
buttons,1685015680020000000,approach
buttons,1685015685090000000,start
buttons,1685015694052000000,start
buttons,1685015698794000000,approach
buttons,1685015703626000000,centre
buttons,1685015708695000000,depart
buttons,1685015713401000000,end
buttons,1685015720985000000,end
buttons,1685015725489000000,depart
buttons,1685015730464000000,centre
buttons,1685015735398000000,approach
buttons,1685015740663000000,start
buttons,1685015746417000000,start
buttons,1685015750983000000,approach
buttons,1685015755939000000,centre
buttons,1685015760995000000,depart
buttons,1685015766028000000,end
buttons,1685015773852000000,end
buttons,1685015778826000000,depart
buttons,1685015783957000000,centre
buttons,1685015788977000000,approach
buttons,1685015794021000000,start
buttons,1685015799771000000,start
buttons,1685015805274000000,approach
buttons,1685015810218000000,centre
buttons,1685015816251000000,depart
buttons,1685015821230000000,end
buttons,1685015829716000000,end
buttons,1685015834083000000,depart
buttons,1685015839692000000,centre
buttons,1685015844565000000,approach
buttons,1685015850665000000,start
