name,time,location
buttons,1685016627221000000,start
buttons,1685016632205000000,approach
buttons,1685016636907000000,centre
buttons,1685016642058000000,depart
buttons,1685016647075000000,end
buttons,1685016653147000000,end
buttons,1685016657588000000,depart
buttons,1685016662619000000,centre
buttons,1685016667622000000,approach
buttons,1685016672308000000,start
buttons,1685016678092000000,start
buttons,1685016683089000000,approach
buttons,1685016687881000000,centre
buttons,1685016692765000000,depart
buttons,1685016697771000000,end
buttons,1685016706015000000,end
buttons,1685016710694000000,depart
buttons,1685016715994000000,centre
buttons,1685016720691000000,approach
buttons,1685016725716000000,start
buttons,1685016734444000000,start
buttons,1685016738752000000,approach
buttons,1685016743732000000,centre
buttons,1685016748909000000,depart
buttons,1685016753907000000,end
buttons,1685016771402000000,end
buttons,1685016775434000000,depart
buttons,1685016780417000000,centre
buttons,1685016785372000000,approach
buttons,1685016790318000000,start
buttons,1685016796292000000,start
buttons,1685016801383000000,approach
buttons,1685016806343000000,centre
buttons,1685016811414000000,depart
buttons,1685016816337000000,end
buttons,1685016822237000000,end
buttons,1685016826712000000,depart
buttons,1685016831865000000,centre
buttons,1685016836815000000,approach
buttons,1685016841943000000,start
buttons,1685016850161000000,start
buttons,1685016854550000000,approach
buttons,1685016859650000000,centre
buttons,1685016864801000000,depart
buttons,1685016869892000000,end
buttons,1685016875596000000,end
buttons,1685016880480000000,depart
buttons,1685016885460000000,centre
buttons,1685016890488000000,approach
buttons,1685016896674000000,start
buttons,1685016904611000000,start
buttons,1685016909226000000,approach
buttons,1685016914267000000,centre
buttons,1685016919421000000,depart
buttons,1685016924885000000,end
buttons,1685016930962000000,end
buttons,1685016935337000000,depart
buttons,1685016940938000000,centre
buttons,1685016946099000000,approach
buttons,1685016951904000000,start
