name,time,addr,device,mean,median,rssi,sd
rssi,1685016598691000000,d74adea29cf7,rasp0,-70,-70,-70,0
rssi,1685016599686000000,d74adea29cf7,rasp0,-71,-71,-72,1
rssi,1685016600149000000,d74adea29cf7,rasp0,-70,-70,-68,1.632993161855452
rssi,1685016601108000000,d74adea29cf7,rasp0,-68.75,-69,-65,2.5860201081971503
rssi,1685016601620000000,d74adea29cf7,rasp0,-69.2,-70,-71,2.481934729198171
rssi,1685016602121000000,d74adea29cf7,rasp0,-69.66666666666667,-70.5,-72,2.494438257849294
rssi,1685016605141000000,d74adea29cf7,rasp0,-69.28571428571429,-70,-67,2.4907993963089563
rssi,1685016606145000000,d74adea29cf7,rasp0,-68.875,-69,-66,2.5708704751503917
rssi,1685016606622000000,d74adea29cf7,rasp0,-68.88888888888889,-69,-69,2.4241582476968255
rssi,1685016608141000000,d74adea29cf7,rasp0,-68.2,-68.5,-62,3.0919249667480613
rssi,1685016608698000000,d74adea29cf7,rasp0,-68.4,-69,-72,3.261901286060018
rssi,1685016609151000000,d74adea29cf7,rasp0,-68.3,-69.5,-71,3.163858403911275
rssi,1685016610153000000,d74adea29cf7,rasp0,-67.7,-69,-62,3.6891733491393435
rssi,1685016611112000000,d74adea29cf7,rasp0,-69.1,-69.5,-79,4.867237409455183
rssi,1685016612122000000,d74adea29cf7,rasp0,-68.3,-69,-63,5.139066063011838
rssi,1685016612624000000,d74adea29cf7,rasp0,-68.1,-69.5,-70,5.028916384272063
rssi,1685016615158000000,d74adea29cf7,rasp0,-68.7,-70,-73,5.21632054229799
rssi,1685016616113000000,d74adea29cf7,rasp0,-67.4,-69.5,-53,7.031358332498778
rssi,1685016617627000000,d74adea29cf7,rasp0,-68.6,-70,-81,8.138795979750322
rssi,1685016618188000000,d74adea29cf7,rasp0,-68,-69.5,-56,8.79772697916911
rssi,1685016618638000000,d74adea29cf7,rasp0,-67.1,-69,-63,8.802840450672726
rssi,1685016619142000000,d74adea29cf7,rasp0,-67.7,-69.5,-77,9.241753080449618
rssi,1685016620252000000,d74adea29cf7,rasp0,-67.6,-69,-61,9.308061022576078
rssi,1685016620605000000,d74adea29cf7,rasp0,-65.3,-68.5,-56,9.044888059008802
rssi,1685016622115000000,d74adea29cf7,rasp0,-64.9,-68,-59,9.224424101265075
rssi,1685016622712000000,d74adea29cf7,rasp0,-63.6,-67.5,-57,9.329523031752482
rssi,1685016623117000000,d74adea29cf7,rasp0,-62.5,-67,-62,8.789197915623474
rssi,1685016623639000000,d74adea29cf7,rasp0,-63.6,-66.5,-64,8.200000000000001
rssi,1685016624189000000,d74adea29cf7,rasp0,-61.6,-66,-61,5.8
rssi,1685016625188000000,d74adea29cf7,rasp0,-61.8,-65.5,-58,5.635601121442148
rssi,1685016627621000000,d74adea29cf7,rasp0,-63,-66,-75,6.899275324264136
rssi,1685016628623000000,d74adea29cf7,rasp0,-60.8,-65.5,-55,5.436910887627275
rssi,1685016629624000000,d74adea29cf7,rasp0,-59.5,-65,-48,6.652067347825035
rssi,1685016630604000000,d74adea29cf7,rasp0,-58.8,-64.5,-49,7.318469785412795
rssi,1685016632259000000,d74adea29cf7,rasp0,-57.7,-64,-48,8.000624975587845
rssi,1685016635147000000,d74adea29cf7,rasp0,-59.2,-64.5,-72,9.064215354899728
rssi,1685016636110000000,d74adea29cf7,rasp0,-59.8,-65,-68,9.421252570651102
rssi,1685016636737000000,d74adea29cf7,rasp0,-60.3,-65.5,-69,9.757561170702441
rssi,1685016637633000000,d74adea29cf7,rasp0,-61.1,-66,-69,10.103959619871805
rssi,1685016638638000000,d74adea29cf7,rasp0,-60.8,-65.5,-55,10.235233265539188
rssi,1685016639641000000,d74adea29cf7,rasp0,-61,-66,-77,10.526157893552615
rssi,1685016640147000000,d74adea29cf7,rasp0,-61.4,-65.5,-59,10.365326815879952
rssi,1685016640606000000,d74adea29cf7,rasp0,-63,-65,-64,9.359487165438072
rssi,1685016641115000000,d74adea29cf7,rasp0,-64.2,-64.5,-61,8.182909018191513
rssi,1685016641615000000,d74adea29cf7,rasp0,-65.4,-64,-60,6.406246951218788
rssi,1685016642654000000,d74adea29cf7,rasp0,-64.1,-64,-59,6.252199612936234
rssi,1685016643126000000,d74adea29cf7,rasp0,-63.3,-64,-60,6.2136945531623935
rssi,1685016646599000000,d74adea29cf7,rasp0,-63.1,-64,-67,6.057227088363123
rssi,1685016647608000000,d74adea29cf7,rasp0,-64.5,-64,-83,8.417244204607586
rssi,1685016649125000000,d74adea29cf7,rasp0,-67.4,-64.5,-84,9.562426470305537
rssi,1685016649635000000,d74adea29cf7,rasp0,-66.9,-65,-72,9.170059977993601
rssi,1685016651103000000,d74adea29cf7,rasp0,-67.8,-65.5,-68,8.784076502399099
rssi,1685016651609000000,d74adea29cf7,rasp0,-67.3,-65,-59,9.121951545584968
rssi,1685016652112000000,d74adea29cf7,rasp0,-70.3,-65.5,-91,11.243220179290272
rssi,1685016652621000000,d74adea29cf7,rasp0,-72.2,-66,-79,10.943491216243562
rssi,1685016653130000000,d74adea29cf7,rasp0,-74.5,-66.5,-82,10.327148686835104
rssi,1685016656099000000,d74adea29cf7,rasp0,-76.8,-67,-83,9.357350052231668
rssi,1685016656614000000,d74adea29cf7,rasp0,-75.6,-66.5,-55,11.137324633860683
rssi,1685016657111000000,d74adea29cf7,rasp0,-72.2,-66,-49,13.332666649999167
rssi,1685016658623000000,d74adea29cf7,rasp0,-70.2,-65.5,-64,12.905812643921342
rssi,1685016659129000000,d74adea29cf7,rasp0,-69.7,-66,-67,12.923234889144435
rssi,1685016660601000000,d74adea29cf7,rasp0,-67.4,-65.5,-45,14.914422550001726
rssi,1685016661108000000,d74adea29cf7,rasp0,-67.4,-65,-59,14.914422550001726
