name,time,addr,device,mean,median,rssi,sd
rssi,1685017193125000000,d74adea29cf7,rasp0,-49,-49,-49,0
rssi,1685017193617000000,d74adea29cf7,rasp0,-49,-49,-49,0
rssi,1685017194121000000,d74adea29cf7,rasp0,-49,-49,-49,0
rssi,1685017195127000000,d74adea29cf7,rasp0,-49,-49,-49,0
rssi,1685017195635000000,d74adea29cf7,rasp0,-48.6,-49,-47,0.8
rssi,1685017196100000000,d74adea29cf7,rasp0,-48.5,-49,-48,0.7637626158259734
rssi,1685017196609000000,d74adea29cf7,rasp0,-48.42857142857143,-49,-48,0.7284313590846836
rssi,1685017197217000000,d74adea29cf7,rasp0,-48.375,-48.5,-48,0.6959705453537527
rssi,1685017197619000000,d74adea29cf7,rasp0,-48.77777777777778,-49,-52,1.314684396244359
rssi,1685017199633000000,d74adea29cf7,rasp0,-49.5,-49,-56,2.5
rssi,1685017200140000000,d74adea29cf7,rasp0,-52.2,-49,-76,8.316249154516717
rssi,1685017200601000000,d74adea29cf7,rasp0,-52.9,-49,-56,8.312039460926542
rssi,1685017201102000000,d74adea29cf7,rasp0,-54.1,-49,-61,8.5258430668175
rssi,1685017202131000000,d74adea29cf7,rasp0,-54.7,-49,-55,8.355237878121724
rssi,1685017202610000000,d74adea29cf7,rasp0,-54.9,-49,-49,8.19084855189009
rssi,1685017204626000000,d74adea29cf7,rasp0,-55.7,-49,-56,7.861933604400383
rssi,1685017205125000000,d74adea29cf7,rasp0,-56.8,-49,-59,7.467261881037787
rssi,1685017205602000000,d74adea29cf7,rasp0,-57.6,-50.5,-56,6.887670143089026
rssi,1685017208123000000,d74adea29cf7,rasp0,-59.5,-52,-71,7.6583287994183165
rssi,1685017209638000000,d74adea29cf7,rasp0,-59.1,-52,-52,7.930321557162736
rssi,1685017210139000000,d74adea29cf7,rasp0,-58.7,-52,-72,7.128113354878695
rssi,1685017210597000000,d74adea29cf7,rasp0,-58.4,-52.5,-53,7.296574538781879
rssi,1685017211170000000,d74adea29cf7,rasp0,-57.7,-53,-54,7.349149610669251
rssi,1685017211606000000,d74adea29cf7,rasp0,-57.1,-52.5,-49,7.7775317421403045
rssi,1685017212612000000,d74adea29cf7,rasp0,-59.6,-53,-74,8.73155198117723
rssi,1685017213617000000,d74adea29cf7,rasp0,-59.9,-53.5,-59,8.653900854527974
rssi,1685017214626000000,d74adea29cf7,rasp0,-60.9,-54,-69,9.060353193998566
rssi,1685017215593000000,d74adea29cf7,rasp0,-63,-54.5,-77,10.059821071967434
rssi,1685017216659000000,d74adea29cf7,rasp0,-63.1,-55,-72,10.14347080638575
rssi,1685017218119000000,d74adea29cf7,rasp0,-64.1,-55.5,-62,9.470480452437458
rssi,1685017219166000000,d74adea29cf7,rasp0,-62.4,-55,-55,9.425497334358543
rssi,1685017220139000000,d74adea29cf7,rasp0,-64.2,-55.5,-71,9.173875952943773
rssi,1685017221098000000,d74adea29cf7,rasp0,-65.6,-56,-68,8.558037158133867
rssi,1685017222111000000,d74adea29cf7,rasp0,-67.9,-56,-72,6.670082458260917
rssi,1685017225140000000,d74adea29cf7,rasp0,-68.1,-56,-76,6.876772498781678
