name,time,location
buttons,1685014626693000000,centre
buttons,1685014627693000000,centre
buttons,1685014629093000000,centre
buttons,1685014716981000000,start
buttons,1685014723471000000,approach
buttons,1685014735028000000,depart
buttons,1685014740309000000,end
buttons,1685014748317000000,end
buttons,1685014759998000000,centre
buttons,1685014765233000000,approach
buttons,1685014770852000000,start
buttons,1685014811696000000,approach
buttons,1685014816871000000,centre
buttons,1685014821995000000,depart
buttons,1685014833078000000,end
buttons,1685014843809000000,depart
buttons,1685014848710000000,centre
buttons,1685014853744000000,approach
buttons,1685014863564000000,start
buttons,1685014868161000000,approach
buttons,1685014873631000000,centre
buttons,1685014878525000000,depart
buttons,1685014883720000000,end
buttons,1685014888822000000,end
buttons,1685014899161000000,centre
buttons,1685014915924000000,start
buttons,1685014921332000000,approach
buttons,1685014926482000000,centre
buttons,1685014931749000000,depart
buttons,1685014936857000000,end
buttons,1685014941060000000,end
buttons,1685014946162000000,depart
buttons,1685014951308000000,centre
buttons,1685014956373000000,approach
buttons,1685014971490000000,approach
buttons,1685014976735000000,centre
buttons,1685014981878000000,depart
buttons,1685014986782000000,end
buttons,1685014997993000000,depart
buttons,1685015002962000000,centre
buttons,1685015007832000000,approach
buttons,1685015022754000000,approach
buttons,1685015027997000000,centre
buttons,1685015032810000000,depart
buttons,1685015037908000000,end
buttons,1685015049422000000,depart
buttons,1685015054431000000,centre
buttons,1685015081563000000,centre
buttons,1685015086644000000,depart
buttons,1685015091742000000,end
buttons,1685015096446000000,end
buttons,1685015101455000000,depart
buttons,1685015106489000000,centre
buttons,1685015111176000000,approach
buttons,1685015131615000000,centre
buttons,1685015136465000000,depart
buttons,1685015141474000000,end
buttons,1685015146778000000,end
buttons,1685015151569000000,depart
buttons,1685015156541000000,centre
buttons,1685015161236000000,approach
